number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_max_leaves,params_n_estimators,state,fold_0,fold_1,fold_2,fold_3,fold_4,accuracy,balanced_accuracy,precision,recall,f1,accuracy_std,balanced_accuracy_std,precision_std,recall_std,f1_std
0,0.5546892781260931,2024-07-10 20:24:53.167847,2024-07-10 20:25:03.927166,0 days 00:00:10.759319,0.5808361216819946,0.5780093202212182,8.661761457749352,1.5599452033620265,0.18361096041714062,10,4,218,COMPLETE,"{'accuracy': 0.5741525423728814, 'balanced_accuracy': 0.6041209152317731, 'precision': 0.5693931832791383, 'recall': 0.5741525423728814, 'f1': 0.5507858968600656}","{'accuracy': 0.5805084745762712, 'balanced_accuracy': 0.6103553861198991, 'precision': 0.5808870525687009, 'recall': 0.5805084745762712, 'f1': 0.5512784389290412}","{'accuracy': 0.5939265536723164, 'balanced_accuracy': 0.6248691909559786, 'precision': 0.6029966129661566, 'recall': 0.5939265536723164, 'f1': 0.5737679355904746}","{'accuracy': 0.5833333333333334, 'balanced_accuracy': 0.615566554541607, 'precision': 0.588209723420315, 'recall': 0.5833333333333334, 'f1': 0.5563669677864902}","{'accuracy': 0.5745583038869257, 'balanced_accuracy': 0.6089348251742004, 'precision': 0.5784680166097517, 'recall': 0.5745583038869257, 'f1': 0.5412471514643942}",0.5812958415683456,0.6127693744046917,0.5839909177688125,0.5812958415683456,0.5546892781260931,0.008073526880033096,0.007898682336297718,0.012572241642640135,0.008073526880033096,0.011983017063380567
1,0.6063459913183846,2024-07-10 20:25:03.928165,2024-07-10 20:25:19.352510,0 days 00:00:15.424345,1.8182496720710062,0.9162213204002109,1.8340450985343382,2.1233911067827616,0.29127385712697834,8,0,321,COMPLETE,"{'accuracy': 0.6101694915254238, 'balanced_accuracy': 0.6196515276946836, 'precision': 0.610831559474556, 'recall': 0.6101694915254238, 'f1': 0.6089260058481824}","{'accuracy': 0.6087570621468926, 'balanced_accuracy': 0.6229408846509615, 'precision': 0.6051251154501887, 'recall': 0.6087570621468926, 'f1': 0.6025685731933856}","{'accuracy': 0.6009887005649718, 'balanced_accuracy': 0.6161757176106945, 'precision': 0.6022778785519883, 'recall': 0.6009887005649718, 'f1': 0.5968047131268864}","{'accuracy': 0.6129943502824858, 'balanced_accuracy': 0.6278328077438108, 'precision': 0.6148898096857143, 'recall': 0.6129943502824858, 'f1': 0.6089459403080119}","{'accuracy': 0.6169611307420495, 'balanced_accuracy': 0.6255670882471955, 'precision': 0.6151384318370534, 'recall': 0.6169611307420495, 'f1': 0.6144847241154565}",0.6099741470523646,0.6224336051894691,0.6096525589999002,0.6099741470523646,0.6063459913183846,0.005920246454735649,0.004640273399367073,0.005783539021554024,0.005920246454735649,0.006800001075062315
2,0.5516061795317633,2024-07-10 20:25:19.353510,2024-07-10 20:25:28.867489,0 days 00:00:09.513979,2.9214464853521815,0.8059264473611898,3.663618432936917,1.3949386065204183,0.09445645065743215,6,2,187,COMPLETE,"{'accuracy': 0.5706214689265536, 'balanced_accuracy': 0.5974384491489162, 'precision': 0.564400542022164, 'recall': 0.5706214689265536, 'f1': 0.5531462141819957}","{'accuracy': 0.576271186440678, 'balanced_accuracy': 0.6034885062559088, 'precision': 0.5708894276622344, 'recall': 0.576271186440678, 'f1': 0.5539883426526898}","{'accuracy': 0.5755649717514124, 'balanced_accuracy': 0.6003959181496584, 'precision': 0.5717643156990551, 'recall': 0.5755649717514124, 'f1': 0.5570248456042305}","{'accuracy': 0.5790960451977402, 'balanced_accuracy': 0.6082973449809704, 'precision': 0.5749136300504384, 'recall': 0.5790960451977402, 'f1': 0.555584363412103}","{'accuracy': 0.5625441696113074, 'balanced_accuracy': 0.589198083914264, 'precision': 0.5532189858111515, 'recall': 0.5625441696113074, 'f1': 0.5382871318077973}",0.5728195683855384,0.5997636604899436,0.5670373802490086,0.5728195683855383,0.5516061795317633,0.006505008247786506,0.007143808733404769,0.008618561939672963,0.006505008247786506,0.007593275464557516
3,0.21534102145881046,2024-07-10 20:25:28.868489,2024-07-10 20:25:40.581851,0 days 00:00:11.713362,6.075448519014383,0.7962072844310213,1.7052412368729153,0.46450412719997725,0.15912798713994736,9,1,255,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
4,0.5644847487255235,2024-07-10 20:25:40.582851,2024-07-10 20:25:46.631776,0 days 00:00:06.048925,6.842330265121569,0.6523068845866853,4.4015249373960135,0.9767211400638387,0.24443523095377373,10,5,79,COMPLETE,"{'accuracy': 0.586864406779661, 'balanced_accuracy': 0.6153529387717954, 'precision': 0.5870880021734258, 'recall': 0.586864406779661, 'f1': 0.5650149289212412}","{'accuracy': 0.586864406779661, 'balanced_accuracy': 0.611265099956672, 'precision': 0.5812216850721499, 'recall': 0.586864406779661, 'f1': 0.5651524601849023}","{'accuracy': 0.588276836158192, 'balanced_accuracy': 0.6177513723050679, 'precision': 0.5901845920951496, 'recall': 0.588276836158192, 'f1': 0.5692510316579295}","{'accuracy': 0.5875706214689266, 'balanced_accuracy': 0.6170027602374141, 'precision': 0.5926562125776915, 'recall': 0.5875706214689266, 'f1': 0.5627674113332589}","{'accuracy': 0.5830388692579506, 'balanced_accuracy': 0.612325162293823, 'precision': 0.5824855328588608, 'recall': 0.5830388692579506, 'f1': 0.5602379115302852}",0.5865230280888782,0.6147394667129544,0.5867272049554555,0.5865230280888782,0.5644847487255235,0.0020338225226211185,0.0028491450922181008,0.004887211966225054,0.0020338225226211185,0.0033327637369903137
5,0.5893137532299149,2024-07-10 20:25:46.632776,2024-07-10 20:25:53.569702,0 days 00:00:06.936926,3.1171107608941098,0.6293899908000085,5.200680211778108,6.62522284353982,0.2737029166028468,6,0,105,COMPLETE,"{'accuracy': 0.5995762711864406, 'balanced_accuracy': 0.6234077000068168, 'precision': 0.6001199073364636, 'recall': 0.5995762711864406, 'f1': 0.5870667554850244}","{'accuracy': 0.596045197740113, 'balanced_accuracy': 0.6155682104778071, 'precision': 0.5935691676954614, 'recall': 0.596045197740113, 'f1': 0.5840100087433848}","{'accuracy': 0.6009887005649718, 'balanced_accuracy': 0.6272215755807887, 'precision': 0.60428455757639, 'recall': 0.6009887005649718, 'f1': 0.5861988735996798}","{'accuracy': 0.6186440677966102, 'balanced_accuracy': 0.6408515533911114, 'precision': 0.6237590586139266, 'recall': 0.6186440677966102, 'f1': 0.6064532472959465}","{'accuracy': 0.5978798586572438, 'balanced_accuracy': 0.6214046426737324, 'precision': 0.5964512465265932, 'recall': 0.5978798586572438, 'f1': 0.582839881025539}",0.6026268191890759,0.6256907364260512,0.6036367875497669,0.6026268191890759,0.5893137532299149,0.009143206547579438,0.009463643934603472,0.011944484234869148,0.009143206547579438,0.009728237991960813
6,0.5437187795907688,2024-07-10 20:25:53.570700,2024-07-10 20:26:07.007592,0 days 00:00:13.436892,5.978999788110851,0.9697494707820946,9.218742350231167,8.948273504276488,0.2347885187747232,3,5,296,COMPLETE,"{'accuracy': 0.5783898305084746, 'balanced_accuracy': 0.6105235280968149, 'precision': 0.5784560521225417, 'recall': 0.5783898305084746, 'f1': 0.5495928611285941}","{'accuracy': 0.5896892655367232, 'balanced_accuracy': 0.6238592582738506, 'precision': 0.6023361922932438, 'recall': 0.5896892655367232, 'f1': 0.5510581953983162}","{'accuracy': 0.5769774011299436, 'balanced_accuracy': 0.6111784822639383, 'precision': 0.5868816425820023, 'recall': 0.5769774011299436, 'f1': 0.5428593580946752}","{'accuracy': 0.5755649717514124, 'balanced_accuracy': 0.6062742041021948, 'precision': 0.5785526188963953, 'recall': 0.5755649717514124, 'f1': 0.5454769068340544}","{'accuracy': 0.5653710247349824, 'balanced_accuracy': 0.6007890205007927, 'precision': 0.5621362790947644, 'recall': 0.5653710247349824, 'f1': 0.5296065764982042}",0.5771984987323072,0.6105248986475182,0.5816725569977895,0.5771984987323072,0.5437187795907688,0.008660902990850377,0.00853065131557892,0.014627597785696458,0.008660902990850377,0.00853457308754248
7,0.5707928299868275,2024-07-10 20:26:07.008592,2024-07-10 20:26:13.470808,0 days 00:00:06.462216,8.287375091519294,0.6943386448447411,3.567533266935893,2.713490317738959,0.10434579592134664,3,0,89,COMPLETE,"{'accuracy': 0.5932203389830508, 'balanced_accuracy': 0.6213183216800376, 'precision': 0.5939784862092701, 'recall': 0.5932203389830508, 'f1': 0.5729891132881108}","{'accuracy': 0.5840395480225988, 'balanced_accuracy': 0.6077704697115585, 'precision': 0.5776818229823482, 'recall': 0.5840395480225988, 'f1': 0.5633282725282499}","{'accuracy': 0.596045197740113, 'balanced_accuracy': 0.6234761024013494, 'precision': 0.5985212559392455, 'recall': 0.596045197740113, 'f1': 0.578496603010842}","{'accuracy': 0.5988700564971752, 'balanced_accuracy': 0.6273850340016255, 'precision': 0.6047394687261474, 'recall': 0.5988700564971752, 'f1': 0.575654100884254}","{'accuracy': 0.5844522968197879, 'balanced_accuracy': 0.6113766916947926, 'precision': 0.5812976743406028, 'recall': 0.5844522968197879, 'f1': 0.5634960602226804}",0.5913254876125451,0.6182653238978727,0.5912437416395228,0.5913254876125451,0.5707928299868275,0.0067659499045125,0.008325222796838531,0.011461081801247554,0.0067659499045125,0.007013668813940622
8,0.5986604971907095,2024-07-10 20:26:13.471806,2024-07-10 20:26:23.117981,0 days 00:00:09.646175,7.722447692966574,0.5372753218398854,1.987156815341724,9.868869366005173,0.2426371244186715,6,0,176,COMPLETE,"{'accuracy': 0.617231638418079, 'balanced_accuracy': 0.6351639546067497, 'precision': 0.6155382272799718, 'recall': 0.617231638418079, 'f1': 0.6090720559294875}","{'accuracy': 0.5995762711864406, 'balanced_accuracy': 0.6171723664453411, 'precision': 0.5941676440092012, 'recall': 0.5995762711864406, 'f1': 0.5884012651642874}","{'accuracy': 0.6059322033898306, 'balanced_accuracy': 0.6261351855809352, 'precision': 0.6070959619584009, 'recall': 0.6059322033898306, 'f1': 0.5957999311755278}","{'accuracy': 0.615819209039548, 'balanced_accuracy': 0.6380783064663139, 'precision': 0.6183412090772282, 'recall': 0.615819209039548, 'f1': 0.6039667659296689}","{'accuracy': 0.6042402826855123, 'balanced_accuracy': 0.6202577766755848, 'precision': 0.6018251148938653, 'recall': 0.6042402826855123, 'f1': 0.5960624677545753}",0.6085599209438821,0.627361517954985,0.6073936314437335,0.6085599209438821,0.5986604971907095,0.007651243114677345,0.009103754904490337,0.009902116247097447,0.007651243114677345,0.008011577247197981
9,0.5908922394446845,2024-07-10 20:26:23.118980,2024-07-10 20:26:28.209035,0 days 00:00:05.090055,3.5846572854427263,0.8856351733429728,1.1586905952512971,0.7404465173409036,0.2214120787318863,9,4,52,COMPLETE,"{'accuracy': 0.6038135593220338, 'balanced_accuracy': 0.6258783568173512, 'precision': 0.603529987484581, 'recall': 0.6038135593220338, 'f1': 0.5928287394677334}","{'accuracy': 0.6115819209039548, 'balanced_accuracy': 0.6303841261651776, 'precision': 0.6099086476911564, 'recall': 0.6115819209039548, 'f1': 0.6009046606505972}","{'accuracy': 0.5988700564971752, 'balanced_accuracy': 0.6187604423138462, 'precision': 0.600093129418863, 'recall': 0.5988700564971752, 'f1': 0.5893654382850481}","{'accuracy': 0.6031073446327684, 'balanced_accuracy': 0.6268689239701452, 'precision': 0.6063037354329169, 'recall': 0.6031073446327684, 'f1': 0.5878867576302375}","{'accuracy': 0.5943462897526501, 'balanced_accuracy': 0.6131648453587224, 'precision': 0.5921547570000398, 'recall': 0.5943462897526501, 'f1': 0.5834756011898063}",0.6023438342217164,0.6230113389250485,0.6023980514055114,0.6023438342217166,0.5908922394446845,0.0064053324422126915,0.0069368995814769385,0.00676724554779629,0.0064053324422126915,0.0065262772019283755
10,0.5340477496595115,2024-07-10 20:26:28.210038,2024-07-10 20:26:47.019928,0 days 00:00:18.809890,0.15594799658456093,0.9913318697624587,0.12307547750103565,4.224910644202765,0.015208943928297747,8,2,451,COMPLETE,"{'accuracy': 0.568502824858757, 'balanced_accuracy': 0.5997600717014425, 'precision': 0.5635146193053784, 'recall': 0.568502824858757, 'f1': 0.5454382908482281}","{'accuracy': 0.5741525423728814, 'balanced_accuracy': 0.6062184443343396, 'precision': 0.5726293687036333, 'recall': 0.5741525423728814, 'f1': 0.5443957548025918}","{'accuracy': 0.5706214689265536, 'balanced_accuracy': 0.6024108421474091, 'precision': 0.5718518923442945, 'recall': 0.5706214689265536, 'f1': 0.5421283640725394}","{'accuracy': 0.5649717514124294, 'balanced_accuracy': 0.5982964455531086, 'precision': 0.5622087217792824, 'recall': 0.5649717514124294, 'f1': 0.531913737336498}","{'accuracy': 0.5498233215547703, 'balanced_accuracy': 0.5859249857122734, 'precision': 0.5434563305514625, 'recall': 0.5498233215547703, 'f1': 0.5063626012377002}",0.5656143818250784,0.5985221578897146,0.5627321865368102,0.5656143818250784,0.5340477496595115,0.00943510424224859,0.007658766444833367,0.011764013868743024,0.00943510424224859,0.01637943390381363
11,0.21534102145881046,2024-07-10 20:26:47.020928,2024-07-10 20:27:03.511961,0 days 00:00:16.491033,9.494704016034676,0.535874097293578,2.400665831386537,8.9054002986905,0.2842848187923769,7,1,385,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
12,0.5676025303162016,2024-07-10 20:27:03.512961,2024-07-10 20:27:18.969231,0 days 00:00:15.456270,7.7840339316858245,0.8957346661249763,6.526812002249811,5.647648705410022,0.2914577543381774,4,0,345,COMPLETE,"{'accuracy': 0.6009887005649718, 'balanced_accuracy': 0.6297833716823037, 'precision': 0.6068204408148706, 'recall': 0.6009887005649718, 'f1': 0.5798964756750598}","{'accuracy': 0.5918079096045198, 'balanced_accuracy': 0.6180139951927214, 'precision': 0.5907915036254809, 'recall': 0.5918079096045198, 'f1': 0.5680323124688166}","{'accuracy': 0.5953389830508474, 'balanced_accuracy': 0.6249416059384291, 'precision': 0.6044996199110311, 'recall': 0.5953389830508474, 'f1': 0.5756413417729375}","{'accuracy': 0.5847457627118644, 'balanced_accuracy': 0.6154544598903299, 'precision': 0.5852652316239301, 'recall': 0.5847457627118644, 'f1': 0.5576814950340984}","{'accuracy': 0.5837455830388693, 'balanced_accuracy': 0.6136619159650304, 'precision': 0.5820844308016642, 'recall': 0.5837455830388693, 'f1': 0.5567610266300959}",0.5913253877942145,0.620371069733763,0.5938922453553953,0.5913253877942145,0.5676025303162016,0.00725372825243013,0.006786435482006281,0.011215158074407316,0.00725372825243013,0.010391263615013645
13,0.21534102145881046,2024-07-10 20:27:18.969231,2024-07-10 20:27:29.178240,0 days 00:00:10.209009,4.381301674911344,0.7571114615865944,0.05233051918239284,7.540785161548168,0.1993496275118838,5,1,206,COMPLETE,"{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.3862994350282486, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14922725350314406, 'recall': 0.3862994350282486, 'f1': 0.21528863062705245}","{'accuracy': 0.38657243816254416, 'balanced_accuracy': 0.3333333333333333, 'precision': 0.14943824994693403, 'recall': 0.38657243816254416, 'f1': 0.21555058478584266}",0.38635403565510773,0.3333333333333333,0.14926945279190204,0.38635403565510773,0.21534102145881046,0.0001220907132710791,0.0,9.436047826501639e-05,0.0001220907132710791,0.00011714946120873757
14,0.6047939595218187,2024-07-10 20:27:29.179240,2024-07-10 20:27:37.866330,0 days 00:00:08.687090,1.715744186718966,0.5065701578589041,2.32782657873316,3.708038543603693,0.29933672443645915,7,0,151,COMPLETE,"{'accuracy': 0.5988700564971752, 'balanced_accuracy': 0.615220146570648, 'precision': 0.5958820061009118, 'recall': 0.5988700564971752, 'f1': 0.5926291567232944}","{'accuracy': 0.6137005649717514, 'balanced_accuracy': 0.6268042466057472, 'precision': 0.6093587106015819, 'recall': 0.6137005649717514, 'f1': 0.6065224888925274}","{'accuracy': 0.6038135593220338, 'balanced_accuracy': 0.6225452117517344, 'precision': 0.6030158470792532, 'recall': 0.6038135593220338, 'f1': 0.5953163199680186}","{'accuracy': 0.6257062146892656, 'balanced_accuracy': 0.6442217339160538, 'precision': 0.6278570567897411, 'recall': 0.6257062146892656, 'f1': 0.6167547751604198}","{'accuracy': 0.615547703180212, 'balanced_accuracy': 0.6257308197168868, 'precision': 0.6149171077063749, 'recall': 0.615547703180212, 'f1': 0.6127470568648337}",0.6115276197320876,0.626904431712214,0.6102061456555725,0.6115276197320876,0.6047939595218187,0.01050756812920977,0.01068645960694548,0.012158817182184763,0.01050756812920977,0.010572473226641656
15,0.5835493023253356,2024-07-10 20:27:37.867331,2024-07-10 20:27:58.183625,0 days 00:00:20.316294,1.4518244143096777,0.870576595589974,2.879092994650642,3.849491018344544,0.29849181463714203,8,3,483,COMPLETE,"{'accuracy': 0.597457627118644, 'balanced_accuracy': 0.6197284642753811, 'precision': 0.5976808325002532, 'recall': 0.597457627118644, 'f1': 0.5852218327215315}","{'accuracy': 0.5953389830508474, 'balanced_accuracy': 0.6159206703832618, 'precision': 0.5923469967780863, 'recall': 0.5953389830508474, 'f1': 0.5830028140878084}","{'accuracy': 0.596045197740113, 'balanced_accuracy': 0.6160431468620927, 'precision': 0.5963445690312743, 'recall': 0.596045197740113, 'f1': 0.5869925314006403}","{'accuracy': 0.6002824858757062, 'balanced_accuracy': 0.6244873373566567, 'precision': 0.6039575482853548, 'recall': 0.6002824858757062, 'f1': 0.5844153496830861}","{'accuracy': 0.5908127208480566, 'balanced_accuracy': 0.6119862817010442, 'precision': 0.5875495772527533, 'recall': 0.5908127208480566, 'f1': 0.578113983733612}",0.5959874029266734,0.6176331801156872,0.5955759047695444,0.5959874029266734,0.5835493023253356,0.003457253964648562,0.004709512825927033,0.0061261997549254335,0.003457253964648562,0.0033632038298466783
