number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
32,39.111127910890374,2024-07-10 21:12:21.927665,2024-07-10 21:12:28.857922,0 days 00:00:06.930257,9,0.901527147877358,6,13,140,COMPLETE,"{'mse': 1591.8084602406107, 'rmse': 39.897474359169784, 'mae': 30.284509028355696, 'mdae': 23.353352952725324, 'r2': 0.4671714046649701}","{'mse': 1491.1375581259658, 'rmse': 38.6152503310022, 'mae': 29.751875311946044, 'mdae': 23.317894615763876, 'r2': 0.4565280518805428}","{'mse': 1536.4369864255734, 'rmse': 39.19741045561012, 'mae': 30.19991775741817, 'mdae': 23.876308552040463, 'r2': 0.4467523014830094}","{'mse': 1516.344121808659, 'rmse': 38.94026350461254, 'mae': 29.955732515382728, 'mdae': 23.385977125396572, 'r2': 0.4491023349522103}","{'mse': 1513.6177698027286, 'rmse': 38.90524090405724, 'mae': 29.645368682153418, 'mdae': 22.575627512048996, 'r2': 0.4736155412631221}",1529.8689792807077,39.111127910890374,29.967480659051212,23.301832151595047,0.4586339268487709,38.166688955290454,0.48560892017036067,0.276095002617809,0.46566862828820443,0.011552015762617864
33,39.05374921163468,2024-07-10 21:12:28.858927,2024-07-10 21:12:34.249352,0 days 00:00:05.390425,10,0.7538750625758561,5,9,114,COMPLETE,"{'mse': 1582.0151935969684, 'rmse': 39.77455459960512, 'mae': 30.121092558640782, 'mdae': 22.681471010565105, 'r2': 0.47044952049348165}","{'mse': 1489.8400840345569, 'rmse': 38.598446653130445, 'mae': 29.66729401046226, 'mdae': 23.434799470441355, 'r2': 0.45700093968908184}","{'mse': 1533.6363219995246, 'rmse': 39.16166904001315, 'mae': 30.113126936736418, 'mdae': 23.765771582705554, 'r2': 0.44776077834325123}","{'mse': 1512.4384323351169, 'rmse': 38.8900814133259, 'mae': 29.806132726723032, 'mdae': 23.509309235709214, 'r2': 0.45052129729751855}","{'mse': 1508.8558972258804, 'rmse': 38.84399435209876, 'mae': 29.48128449326331, 'mdae': 22.05698470776278, 'r2': 0.47527155757645123}",1525.3571858384096,39.05374921163468,29.83778614516516,23.089667201436804,0.46020081867995694,35.28216680293762,0.44980322524608757,0.2798383507146935,0.704519360520043,0.012153703376718571
34,39.038100818101896,2024-07-10 21:12:34.250350,2024-07-10 21:12:39.710717,0 days 00:00:05.460367,10,0.8786573830716805,5,9,102,COMPLETE,"{'mse': 1576.2430913370536, 'rmse': 39.70192805566316, 'mae': 30.009575235505864, 'mdae': 22.813048902297027, 'r2': 0.4723816255275356}","{'mse': 1491.496144231966, 'rmse': 38.61989311523228, 'mae': 29.651699946127312, 'mdae': 23.28452557660614, 'r2': 0.4563973587137491}","{'mse': 1535.3735128706842, 'rmse': 39.18384249752293, 'mae': 30.030456277287364, 'mdae': 23.369368234103835, 'r2': 0.4471352422100775}","{'mse': 1508.844869225678, 'rmse': 38.843852399391054, 'mae': 29.650734655720882, 'mdae': 22.953237296267417, 'r2': 0.4518268621081174}","{'mse': 1508.6223505795285, 'rmse': 38.840988022700046, 'mae': 29.448280313421865, 'mdae': 21.995082721970142, 'r2': 0.4753527771072221}",1524.115993648982,39.038100818101896,29.75814928561266,22.883052546248912,0.4606187731333403,33.095622237364005,0.4223123321284136,0.25310780831142937,0.5468090069872188,0.012573575614020303
35,39.12935574246042,2024-07-10 21:12:39.711713,2024-07-10 21:12:45.119257,0 days 00:00:05.407544,9,0.9438245048353373,8,9,98,COMPLETE,"{'mse': 1575.4819203908798, 'rmse': 39.692340827808074, 'mae': 30.17240560660879, 'mdae': 23.189830128304624, 'r2': 0.4726364134974389}","{'mse': 1494.0929460860382, 'rmse': 38.653498497368105, 'mae': 29.78209509204561, 'mdae': 23.49350912943555, 'r2': 0.4554509074927856}","{'mse': 1543.2201911352126, 'rmse': 39.28384134902304, 'mae': 30.32007686253552, 'mdae': 24.085196633694917, 'r2': 0.4443097721587784}","{'mse': 1522.1621959712554, 'rmse': 39.01489710317401, 'mae': 29.957055406307493, 'mdae': 23.84314788650006, 'r2': 0.4469885908322897}","{'mse': 1521.1716777685667, 'rmse': 39.00220093492887, 'mae': 29.74419367291519, 'mdae': 22.829283785101836, 'r2': 0.4709885505952839}",1531.2257862703907,39.12935574246042,29.99516532808252,23.4881935126074,0.45807484691531536,30.267774705062486,0.3861758834557955,0.24840475280911237,0.5014021160730406,0.013210510769310069
36,38.97918122679063,2024-07-10 21:12:45.120255,2024-07-10 21:12:51.284794,0 days 00:00:06.164539,10,0.8911064118152203,10,12,118,COMPLETE,"{'mse': 1573.4108881292073, 'rmse': 39.66624368564797, 'mae': 30.06772363987221, 'mdae': 22.48522656145691, 'r2': 0.47332965344335165}","{'mse': 1483.9664362181522, 'rmse': 38.522284929870814, 'mae': 29.6086424010314, 'mdae': 23.457424270881575, 'r2': 0.4591416964582701}","{'mse': 1533.8016875899445, 'rmse': 39.16378030259521, 'mae': 30.090215531982814, 'mdae': 23.8848050686643, 'r2': 0.4477012326976295}","{'mse': 1500.7084788546676, 'rmse': 38.73897880500553, 'mae': 29.640657390233955, 'mdae': 23.223262799462702, 'r2': 0.45478286555933967}","{'mse': 1505.7984100104109, 'rmse': 38.80461841083366, 'mae': 29.49642855393372, 'mdae': 22.31932914397818, 'r2': 0.47633484699146633}",1519.5371801604767,38.97918122679063,29.78073350341082,23.074009568888734,0.4622580590300115,35.051405839194004,0.44806674933660606,0.2775826155098887,0.6600910309534914,0.012229345732079453
37,39.42059138097305,2024-07-10 21:12:51.285794,2024-07-10 21:12:54.633036,0 days 00:00:03.347242,8,0.8945696973537096,16,10,71,COMPLETE,"{'mse': 1602.1966586992503, 'rmse': 40.02744881577204, 'mae': 30.609536159041017, 'mdae': 23.90182236529492, 'r2': 0.4636941463571824}","{'mse': 1516.6058362760723, 'rmse': 38.94362382054439, 'mae': 30.157736254559392, 'mdae': 24.252145943252934, 'r2': 0.4472456790598339}","{'mse': 1559.34484413583, 'rmse': 39.48854066860195, 'mae': 30.523033292585513, 'mdae': 24.80857294095849, 'r2': 0.4385035287262179}","{'mse': 1552.3608044730693, 'rmse': 39.40001020904778, 'mae': 30.538742515934157, 'mdae': 24.36043897329713, 'r2': 0.4360172402845669}","{'mse': 1540.039215629257, 'rmse': 39.24333339089911, 'mae': 30.067524462833102, 'mdae': 23.77695335051095, 'r2': 0.4644270666442919}",1554.1094718426957,39.42059138097305,30.379314536990638,24.219986714662884,0.44997753221441866,31.413927209998853,0.39756605905315423,0.24768141938163465,0.4076462662911289,0.01351795174253205
38,39.06988557585131,2024-07-10 21:12:54.634035,2024-07-10 21:13:01.501505,0 days 00:00:06.867470,9,0.9823678539896625,10,12,131,COMPLETE,"{'mse': 1581.1435609862315, 'rmse': 39.76359592625183, 'mae': 30.195318041530747, 'mdae': 23.159264047252606, 'r2': 0.4707412834732795}","{'mse': 1490.2752778175034, 'rmse': 38.60408369353563, 'mae': 29.725377367875495, 'mdae': 23.56538008415352, 'r2': 0.45684232547422376}","{'mse': 1534.0672185581304, 'rmse': 39.16717016275404, 'mae': 30.12720139582083, 'mdae': 23.955844143721855, 'r2': 0.44760561901588947}","{'mse': 1514.7952947531319, 'rmse': 38.920371205233025, 'mae': 29.973250678537177, 'mdae': 24.12581787334699, 'r2': 0.4496650338779892}","{'mse': 1512.7593297174083, 'rmse': 38.89420689148203, 'mae': 29.63619983186985, 'mdae': 22.674588369434634, 'r2': 0.4739140773458006}",1526.6081363664812,39.06988557585131,29.93146946312682,23.496178903581917,0.45975366783743654,34.2095006121244,0.4361442656488747,0.24460725593836186,0.5918295351805387,0.012032003516661624
39,41.00711103893898,2024-07-10 21:13:01.502507,2024-07-10 21:13:03.625653,0 days 00:00:02.123146,5,0.9372691571661288,11,8,50,COMPLETE,"{'mse': 1750.2107852278061, 'rmse': 41.835520616191765, 'mae': 32.43863662151284, 'mdae': 26.530493357978912, 'r2': 0.41414914072501563}","{'mse': 1646.784486885662, 'rmse': 40.58059249056946, 'mae': 31.85460968491455, 'mdae': 26.528132113341126, 'r2': 0.399799724483201}","{'mse': 1666.324129820693, 'rmse': 40.82063362835875, 'mae': 32.131386973985116, 'mdae': 27.11865737160006, 'r2': 0.3999819075227119}","{'mse': 1685.2931413171727, 'rmse': 41.052321996656566, 'mae': 32.16478930525609, 'mdae': 26.260647608618335, 'r2': 0.38772205918186753}","{'mse': 1660.2761590727885, 'rmse': 40.74648646291835, 'mae': 31.84218965286431, 'mdae': 26.43051713625679, 'r2': 0.42261277266771635}",1681.7777404648245,41.00711103893898,32.086322447706586,26.573689517559046,0.4048531209161025,40.68506955579424,0.4931844291864266,0.2477926362331047,0.32381511497327464,0.013643313620602634
40,44.665568935993996,2024-07-10 21:13:03.626655,2024-07-10 21:13:05.737556,0 days 00:00:02.110901,2,0.8550298247716153,13,12,117,COMPLETE,"{'mse': 2082.555526819768, 'rmse': 45.6350252198875, 'mae': 36.349783285981424, 'mdae': 29.738470082548123, 'r2': 0.30290285308896325}","{'mse': 1950.0551588415556, 'rmse': 44.15942887811793, 'mae': 35.53609552871519, 'mdae': 30.351401633750385, 'r2': 0.2892672642167532}","{'mse': 1977.0700465475056, 'rmse': 44.46425583035778, 'mae': 35.98301619082965, 'mdae': 30.41085342995298, 'r2': 0.2880870073272789}","{'mse': 1976.1211457075096, 'rmse': 44.4535841716673, 'mae': 35.76318940131887, 'mdae': 29.8629234417135, 'r2': 0.2820623568459343}","{'mse': 1990.5473535511367, 'rmse': 44.615550579939466, 'mae': 36.22328940114412, 'mdae': 31.484940165928563, 'r2': 0.30775575433043456}",1995.2698462934954,44.665568935993996,35.97107476159785,30.36971775077871,0.2940150471618729,50.94939982212412,0.5665663216511675,0.3315110196629405,0.6893951606017102,0.010820698136592437
41,38.98520182587798,2024-07-10 21:13:05.738556,2024-07-10 21:13:15.548204,0 days 00:00:09.809648,10,0.8815188526127675,7,15,190,COMPLETE,"{'mse': 1577.7950180938926, 'rmse': 39.72146797506221, 'mae': 30.057246924367114, 'mdae': 22.850464651428595, 'r2': 0.47186214659865466}","{'mse': 1480.0680679842364, 'rmse': 38.47165278467038, 'mae': 29.485019599189684, 'mdae': 22.920774673520192, 'r2': 0.4605625269960214}","{'mse': 1533.3159605620654, 'rmse': 39.157578583999104, 'mae': 30.020403283510355, 'mdae': 23.758683780700302, 'r2': 0.4478761356468919}","{'mse': 1504.8233065998693, 'rmse': 38.79205210606767, 'mae': 29.6777647067204, 'mdae': 23.35759132368615, 'r2': 0.4532879219220064}","{'mse': 1504.1410762415192, 'rmse': 38.78325767959055, 'mae': 29.355229596090705, 'mdae': 21.89835579563254, 'r2': 0.47691121095619304}",1520.0286858963166,38.98520182587798,29.71913282197565,22.957174044993558,0.46209998842395344,37.39642859823335,0.4779180001273042,0.313859410039667,0.6958016505454098,0.012216856557928944
42,38.94622779990742,2024-07-10 21:13:15.549204,2024-07-10 21:13:25.571841,0 days 00:00:10.022637,10,0.8843246462974628,9,15,200,COMPLETE,"{'mse': 1579.7417958882022, 'rmse': 39.74596578129914, 'mae': 30.122707395804042, 'mdae': 22.962487649109967, 'r2': 0.4712104985496083}","{'mse': 1484.8196953901393, 'rmse': 38.53335821583864, 'mae': 29.572713288494967, 'mdae': 23.252743517126866, 'r2': 0.45883071078030657}","{'mse': 1522.9219830739612, 'rmse': 39.02463302933112, 'mae': 29.963644954934736, 'mdae': 23.739102293565, 'r2': 0.4516188495847471}","{'mse': 1496.2095841570313, 'rmse': 38.680868451432566, 'mae': 29.605228534975033, 'mdae': 23.176229218165464, 'r2': 0.4564173432142321}","{'mse': 1501.2768115168822, 'rmse': 38.74631352163561, 'mae': 29.43067680554677, 'mdae': 21.945104356176316, 'r2': 0.47790730420168503}",1516.9939740052432,38.94622779990742,29.738994195951108,23.01513340682872,0.4631969412661158,37.704889288475194,0.4812927422085634,0.29082038645865355,0.6622452564862541,0.010950924657471616
43,38.970226130687394,2024-07-10 21:13:25.572864,2024-07-10 21:13:35.148578,0 days 00:00:09.575714,10,0.8896354760337155,9,15,190,COMPLETE,"{'mse': 1577.8525571114076, 'rmse': 39.722192249565076, 'mae': 30.06792971256462, 'mdae': 22.73120461563952, 'r2': 0.47184288647116757}","{'mse': 1482.4837108918355, 'rmse': 38.50303508675434, 'mae': 29.557119659970997, 'mdae': 23.440043392663462, 'r2': 0.45968210241694785}","{'mse': 1526.0610024187667, 'rmse': 39.06483076142487, 'mae': 29.97743837158644, 'mdae': 23.833408309310922, 'r2': 0.45048853624065455}","{'mse': 1501.2871991911472, 'rmse': 38.74644756866295, 'mae': 29.68004431431879, 'mdae': 23.400833840230955, 'r2': 0.45457261270347604}","{'mse': 1506.5751128837533, 'rmse': 38.81462498702974, 'mae': 29.455164674987454, 'mdae': 22.233067536827463, 'r2': 0.476064736313764}",1518.851916499382,38.970226130687394,29.74753934668566,23.127711538934467,0.46253017482920206,36.45179039728422,0.4655531957675448,0.2654250051011268,0.6379185960539758,0.011026630537625906
44,39.15705378830413,2024-07-10 21:13:35.149580,2024-07-10 21:13:45.233766,0 days 00:00:10.084186,9,0.9620664115902872,10,15,194,COMPLETE,"{'mse': 1584.0350662333842, 'rmse': 39.79993801795908, 'mae': 30.265925021034953, 'mdae': 23.202278069931857, 'r2': 0.4697734052908684}","{'mse': 1496.4070135144211, 'rmse': 38.68342039575121, 'mae': 29.792112337299677, 'mdae': 23.58660036829326, 'r2': 0.45460750392714566}","{'mse': 1542.9863553440073, 'rmse': 39.280865002492085, 'mae': 30.238458110363297, 'mdae': 23.94516114812169, 'r2': 0.4443939728871248}","{'mse': 1522.5817393264813, 'rmse': 39.02027343992455, 'mae': 30.01658817931092, 'mdae': 23.729975884183368, 'r2': 0.4468361680072488}","{'mse': 1521.0602232568247, 'rmse': 39.000772085393706, 'mae': 29.726538367875953, 'mdae': 22.67589921825426, 'r2': 0.4710273106600821}",1533.4140795350236,39.15705378830413,30.007924403176958,23.427982937756887,0.45732767215449394,32.76275726060035,0.4171602732782506,0.24775901528588262,0.5001012744280586,0.012523257560246909
45,38.955087139297966,2024-07-10 21:13:45.233766,2024-07-10 21:14:01.622383,0 days 00:00:16.388617,10,0.9975585978275582,12,14,304,COMPLETE,"{'mse': 1569.608932779262, 'rmse': 39.61829038183326, 'mae': 30.023223769171057, 'mdae': 22.604285183194726, 'r2': 0.47460228804684634}","{'mse': 1481.7828945037577, 'rmse': 38.493933216855844, 'mae': 29.53903113242609, 'mdae': 23.184698765443155, 'r2': 0.4599375275758322}","{'mse': 1526.5992909748943, 'rmse': 39.07171983640974, 'mae': 29.9695407649795, 'mdae': 24.077405568528285, 'r2': 0.45029470668080496}","{'mse': 1500.23241390369, 'rmse': 38.7328337964535, 'mae': 29.680251133711238, 'mdae': 23.366873845713318, 'r2': 0.4549558230471108}","{'mse': 1509.9953376946582, 'rmse': 38.85865846493749, 'mae': 29.520816306669158, 'mdae': 22.537080777574758, 'r2': 0.4748752991772791}",1517.6437739712524,38.955087139297966,29.746572621391408,23.15406882809085,0.4629331289055747,33.27249512662743,0.4256758463822888,0.23700663156858137,0.6288305048866599,0.011304041957199376
46,39.03810545601636,2024-07-10 21:14:01.623382,2024-07-10 21:14:15.925876,0 days 00:00:14.302494,10,0.8280757823318647,12,16,304,COMPLETE,"{'mse': 1573.3007442450757, 'rmse': 39.66485527825704, 'mae': 30.111118762132108, 'mdae': 22.918819498860287, 'r2': 0.4733665220820933}","{'mse': 1489.7449706188768, 'rmse': 38.59721454482016, 'mae': 29.689350374030056, 'mdae': 23.76403587413691, 'r2': 0.45703560548703603}","{'mse': 1534.7230410672828, 'rmse': 39.175541362785054, 'mae': 30.111457894686602, 'mdae': 24.014357365594837, 'r2': 0.4473694672589156}","{'mse': 1509.1819599680912, 'rmse': 38.84819120587329, 'mae': 29.829929494148754, 'mdae': 23.51080320050279, 'r2': 0.45170439485267466}","{'mse': 1513.5776186379067, 'rmse': 38.90472488834623, 'mae': 29.61246895823111, 'mdae': 22.577612675299093, 'r2': 0.4736295044641258}",1524.1056669074467,39.03810545601636,29.87086509664573,23.357125722878784,0.46062109882896907,31.808405127097046,0.4061854754797633,0.2329155429948804,0.5960073422100932,0.012243708002933642
47,39.076380325840645,2024-07-10 21:14:15.925876,2024-07-10 21:14:35.422162,0 days 00:00:19.496286,9,0.9980966197581974,9,14,353,COMPLETE,"{'mse': 1580.8324403658978, 'rmse': 39.759683604952116, 'mae': 30.187779791363592, 'mdae': 23.224622781664564, 'r2': 0.4708454253768143}","{'mse': 1496.7459808307713, 'rmse': 38.68780144736544, 'mae': 29.790689449214987, 'mdae': 23.48919863798991, 'r2': 0.45448396118170153}","{'mse': 1532.2126608909775, 'rmse': 39.14348810327176, 'mae': 30.107714969569443, 'mdae': 23.983881603160043, 'r2': 0.4482734171554711}","{'mse': 1512.6775210425935, 'rmse': 38.89315519526018, 'mae': 29.91042273481885, 'mdae': 23.670537992318643, 'r2': 0.45043443481769374}","{'mse': 1513.0367660142135, 'rmse': 38.89777327835378, 'mae': 29.61714804189716, 'mdae': 22.919734774380906, 'r2': 0.47381759449666827}",1527.101073828891,39.076380325840645,29.922750997372805,23.457595157902812,0.4595709666056698,32.559420190004424,0.41469033498548236,0.23207613923552,0.40831690309016827,0.011906597831902666
48,39.428755007900676,2024-07-10 21:14:35.423168,2024-07-10 21:14:53.166044,0 days 00:00:17.742876,8,0.8866495274386917,13,12,377,COMPLETE,"{'mse': 1610.0257675940381, 'rmse': 40.1251263872656, 'mae': 30.706600685847132, 'mdae': 23.824771623182073, 'r2': 0.46107349619773785}","{'mse': 1514.854945868699, 'rmse': 38.92113752023056, 'mae': 30.14599314971274, 'mdae': 24.370091251496135, 'r2': 0.4478838226136954}","{'mse': 1559.3618347615366, 'rmse': 39.48875580163975, 'mae': 30.633094935756727, 'mdae': 24.572357503972427, 'r2': 0.43849741065912395}","{'mse': 1547.5304333443498, 'rmse': 39.33866333957408, 'mae': 30.435481871952103, 'mdae': 24.24357012067903, 'r2': 0.4377721454791422}","{'mse': 1542.1401249653748, 'rmse': 39.27009199079338, 'mae': 30.143338401016415, 'mdae': 23.898101127404274, 'r2': 0.46369644227808093}",1554.7826213067997,39.428755007900676,30.412901808857026,24.181778325346787,0.4497846634455561,34.92642487234141,0.44144625061719256,0.2641772917480507,0.3161323365792525,0.01220953719862185
49,39.01277480714746,2024-07-10 21:14:53.167042,2024-07-10 21:15:03.401003,0 days 00:00:10.233961,10,0.854255604093686,11,16,199,COMPLETE,"{'mse': 1575.018731357943, 'rmse': 39.68650565819499, 'mae': 30.137397722656033, 'mdae': 23.047537845244626, 'r2': 0.472791457504277}","{'mse': 1486.049860212331, 'rmse': 38.54931724703216, 'mae': 29.609632088684993, 'mdae': 23.44799564646798, 'r2': 0.45838235504761027}","{'mse': 1528.8635174525539, 'rmse': 39.100684360411826, 'mae': 30.067356200906215, 'mdae': 24.07694787842103, 'r2': 0.44947939300458273}","{'mse': 1506.270282474421, 'rmse': 38.81069804157639, 'mae': 29.793694898714477, 'mdae': 23.700481245179155, 'r2': 0.4527622261915938}","{'mse': 1514.507104925517, 'rmse': 38.916668728521934, 'mae': 29.533620294215496, 'mdae': 22.563613843433977, 'r2': 0.4733062609437547}",1522.1418992845531,39.01277480714746,29.82834024103544,23.367315291749357,0.4613443385383637,33.36904669891361,0.426176505912996,0.26857892635184755,0.5850813861220431,0.011150415365626887
