number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,params_weights,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
0,44.373381175228374,2024-07-10 18:50:04.908883,2024-07-10 18:50:11.073877,0 days 00:00:06.164994,cityblock,189,uniform,COMPLETE,"{'mse': 2049.622928768424, 'rmse': 45.27276144403414, 'mae': 35.70303992912425, 'mdae': 28.748234888658732, 'r2': 0.31392643437950263}","{'mse': 1902.1166069131739, 'rmse': 43.613261823821134, 'mae': 34.75816832040756, 'mdae': 29.449906829947096, 'r2': 0.30673933315135005}","{'mse': 1970.1215085801944, 'rmse': 44.386050833343965, 'mae': 35.59375077884218, 'mdae': 30.16152724386244, 'r2': 0.2905890706545985}","{'mse': 1951.8406830981537, 'rmse': 44.17964104763815, 'mae': 35.340033791199616, 'mdae': 29.73654251256614, 'r2': 0.29088360656451384}","{'mse': 1972.7091673428324, 'rmse': 44.41519072730446, 'mae': 35.695472037548576, 'mdae': 30.90411790105822, 'r2': 0.313959265004949}",1969.2821789405557,44.373381175228374,35.41809297142443,29.800065875218525,0.3032195419509828,53.109567522348065,0.5970992572891751,0.39704639557934596,0.8035204097684889,0.011769369501739414
1,43.30461800745411,2024-07-10 18:50:11.074878,2024-07-10 18:50:11.898749,0 days 00:00:00.823871,euclidean,31,uniform,COMPLETE,"{'mse': 1936.936604440887, 'rmse': 44.01064194533962, 'mae': 34.621888786554194, 'mdae': 28.294179825483866, 'r2': 0.3516461081999531}","{'mse': 1829.1185362158744, 'rmse': 42.76819538180065, 'mae': 33.59574344177636, 'mdae': 27.611390560645155, 'r2': 0.33334479518577353}","{'mse': 1877.3204793788661, 'rmse': 43.32805649205681, 'mae': 34.393606609745945, 'mdae': 29.357367042258073, 'r2': 0.32400531634462626}","{'mse': 1867.4559519057009, 'rmse': 43.214071225767434, 'mae': 34.31017019571603, 'mdae': 28.711120737258064, 'r2': 0.3215411273152513}","{'mse': 1866.4236038508323, 'rmse': 43.20212499230602, 'mae': 34.34004757585687, 'mdae': 29.432769663225812, 'r2': 0.3509217465022244}",1875.4510351584322,43.30461800745411,34.25229132192989,28.681365565774193,0.3362918187095657,38.97462758697808,0.4487404412822481,0.38687159998357207,0.7611226565394298,0.014378934049476485
2,46.17599031197049,2024-07-10 18:50:11.898749,2024-07-10 18:50:13.168176,0 days 00:00:01.269427,euclidean,417,uniform,COMPLETE,"{'mse': 2233.0383712913117, 'rmse': 47.25503540673006, 'mae': 37.45141428038015, 'mdae': 30.44890703292446, 'r2': 0.25253148954584437}","{'mse': 2063.2408320443024, 'rmse': 45.422910871544794, 'mae': 36.385705592475375, 'mdae': 30.873671683944842, 'r2': 0.24801470640980094}","{'mse': 2127.5713601616494, 'rmse': 46.12560417123714, 'mae': 37.17427964735869, 'mdae': 31.6836088452374, 'r2': 0.23389376275138607}","{'mse': 2102.6594449089216, 'rmse': 45.854764691457326, 'mae': 36.95948817445486, 'mdae': 31.05660326974821, 'r2': 0.23609017113519448}","{'mse': 2136.439673239421, 'rmse': 46.22163641888311, 'mae': 37.45317846906001, 'mdae': 31.843186016952046, 'r2': 0.25701939851783473}",2132.5899363291214,46.17599031197049,37.084813232745816,31.181195369761394,0.2455099056720121,62.91865234002946,0.6780994008338513,0.44230967028633417,0.5781416639326117,0.010145334734471012
3,45.187385174848956,2024-07-10 18:50:13.169176,2024-07-10 18:50:14.307209,0 days 00:00:01.138033,euclidean,218,distance,COMPLETE,"{'mse': 2127.9687379950874, 'rmse': 46.129911532487114, 'mae': 36.542287674387794, 'mdae': 29.500757604948404, 'r2': 0.2877016161784992}","{'mse': 1981.577908592001, 'rmse': 44.51491782079353, 'mae': 35.57348510784427, 'mdae': 30.339398174898264, 'r2': 0.2777782301409919}","{'mse': 2037.9405728099437, 'rmse': 45.14355516361049, 'mae': 36.239821624782174, 'mdae': 30.799817710001467, 'r2': 0.26616845234601794}","{'mse': 2025.6188552982528, 'rmse': 45.00687564470847, 'mae': 36.16782240147324, 'mdae': 30.321700403293057, 'r2': 0.2640795175638925}","{'mse': 2037.769983312204, 'rmse': 45.141665712645164, 'mae': 36.43509677566241, 'mdae': 31.095105247404916, 'r2': 0.29133333983265086}",2042.1752116014977,45.187385174848956,36.19170271682997,30.41135582810922,0.27741223121241043,53.25413936748968,0.5867630072469351,0.37657309754043594,0.6043221461167663,0.012288068194821557
4,45.35793391528033,2024-07-10 18:50:14.308210,2024-07-10 18:50:16.092221,0 days 00:00:01.784011,cosine,230,uniform,COMPLETE,"{'mse': 2129.8397741388612, 'rmse': 46.150187151720864, 'mae': 37.13652903539765, 'mdae': 30.634563752695648, 'r2': 0.2870753212534445}","{'mse': 2004.8102306684598, 'rmse': 44.77510726585096, 'mae': 36.27330986082116, 'mdae': 31.451167651686966, 'r2': 0.2693107917953975}","{'mse': 2051.512119822379, 'rmse': 45.29362118248417, 'mae': 36.90869035849323, 'mdae': 31.980638110145648, 'r2': 0.2612815437280388}","{'mse': 2033.4712045754122, 'rmse': 45.094026262637186, 'mae': 36.69857744777989, 'mdae': 31.502241060782605, 'r2': 0.26122670808633996}","{'mse': 2068.132763546777, 'rmse': 45.476727713708435, 'mae': 37.26194299576292, 'mdae': 32.8281212025652, 'r2': 0.2807742039937492}",2057.553218550378,45.35793391528033,36.85580993965097,31.679346355575216,0.271933713771394,46.73203915094481,0.5136261863466135,0.39069553587714817,0.8039687282600757,0.011644858968409015
5,45.66408983167925,2024-07-10 18:50:16.093220,2024-07-10 18:50:17.901069,0 days 00:00:01.807849,cosine,305,uniform,COMPLETE,"{'mse': 2156.4463670008786, 'rmse': 46.437553413168516, 'mae': 37.39986348781042, 'mdae': 30.97268272366558, 'r2': 0.27816925381165136}","{'mse': 2033.069437752867, 'rmse': 45.08957127488425, 'mae': 36.58607119825535, 'mdae': 31.549881114098362, 'r2': 0.25901121464184784}","{'mse': 2077.221763362177, 'rmse': 45.57654839237146, 'mae': 37.200332709494276, 'mdae': 32.054249001278684, 'r2': 0.2520238903105847}","{'mse': 2062.586357815369, 'rmse': 45.415706069765875, 'mae': 37.01798497968548, 'mdae': 32.14873385271639, 'r2': 0.25064898387010526}","{'mse': 2097.738013896602, 'rmse': 45.80107000820616, 'mae': 37.60601111249506, 'mdae': 33.2142087520459, 'r2': 0.27047851112328736}",2085.412387965579,45.66408983167925,37.16205269754811,31.98795108876098,0.2620663707514953,46.16721145185583,0.5040930096548839,0.3897526780984572,0.8301550341681253,0.01194371240384999
6,44.77800293042636,2024-07-10 18:50:17.902070,2024-07-10 18:50:18.968071,0 days 00:00:01.066001,euclidean,154,distance,COMPLETE,"{'mse': 2091.294587985246, 'rmse': 45.73067447551201, 'mae': 36.21396471974764, 'mdae': 29.067697182572797, 'r2': 0.2999776131485721}","{'mse': 1937.8250815285512, 'rmse': 44.02073467729215, 'mae': 35.129196635624936, 'mdae': 29.682427544850526, 'r2': 0.29372473623650674}","{'mse': 2010.2416748104242, 'rmse': 44.83571873863989, 'mae': 35.94074883219, 'mdae': 30.755770084468153, 'r2': 0.2761424061788673}","{'mse': 1988.7014560563316, 'rmse': 44.59485907653854, 'mae': 35.789422534940165, 'mdae': 29.930442158107248, 'r2': 0.27749184841248187}","{'mse': 1998.8077394066522, 'rmse': 44.70802768414921, 'mae': 36.00108753324589, 'mdae': 31.217061600849107, 'r2': 0.30488307483085386}",2005.3741079574406,44.77800293042636,35.814884051149726,30.13067971416957,0.2904439357614564,55.43010820873411,0.617010453891787,0.4124907818716585,0.8576013822549401,0.013061716085963095
7,41.42978380750523,2024-07-10 18:50:18.969070,2024-07-10 18:50:24.829532,0 days 00:00:05.860462,cityblock,20,uniform,COMPLETE,"{'mse': 1768.411745222332, 'rmse': 42.052487978980885, 'mae': 32.41097953096627, 'mdae': 25.71698871825, 'r2': 0.4080567042354103}","{'mse': 1707.9273832778388, 'rmse': 41.32707808783291, 'mae': 31.96003301180526, 'mdae': 25.535718331749994, 'r2': 0.37751509431287344}","{'mse': 1735.9608061294787, 'rmse': 41.66486296784712, 'mae': 32.35197046451931, 'mdae': 26.345882267, 'r2': 0.3749067946215071}","{'mse': 1687.393218738508, 'rmse': 41.07789209220098, 'mae': 32.08185026224608, 'mdae': 27.228693401999998, 'r2': 0.38695908741893204}","{'mse': 1683.1817361233223, 'rmse': 41.02659791066427, 'mae': 31.903837259882366, 'mdae': 26.572346861000014, 'r2': 0.41464699688313855}",1716.5749778982959,41.42978380750523,32.141734105883856,26.279925916000003,0.39241693549437234,35.722280650305095,0.4301040014824475,0.22906805597668858,0.6820489734741457,0.018008581324067782
8,45.17918220051397,2024-07-10 18:50:24.830532,2024-07-10 18:50:27.213860,0 days 00:00:02.383328,cosine,275,distance,COMPLETE,"{'mse': 2113.3548451845427, 'rmse': 45.97123932617591, 'mae': 36.987444716412504, 'mdae': 30.81237501726475, 'r2': 0.2925933479245676}","{'mse': 1988.6888901463935, 'rmse': 44.594718186646205, 'mae': 36.13586045960221, 'mdae': 31.14432585586406, 'r2': 0.27518650479858675}","{'mse': 2035.6928960216806, 'rmse': 45.11865352624877, 'mae': 36.76708661625482, 'mdae': 31.91653336603796, 'r2': 0.266977806729636}","{'mse': 2016.645721961157, 'rmse': 44.90707875114075, 'mae': 36.55542840206012, 'mdae': 31.37294041102081, 'r2': 0.2673395151676503}","{'mse': 2052.472459658288, 'rmse': 45.304221212358215, 'mae': 37.12398062911369, 'mdae': 32.29089891827175, 'r2': 0.286220321732623}",2041.370962594412,45.17918220051397,36.71396016468867,31.507414713691865,0.27766349927061273,46.70091356602128,0.5153376164880572,0.3889294890844829,0.5946054588739336,0.011434856425960442
9,45.74235311826876,2024-07-10 18:50:27.214863,2024-07-10 18:50:28.445157,0 days 00:00:01.230294,euclidean,300,uniform,COMPLETE,"{'mse': 2189.2892890683647, 'rmse': 46.78984172946479, 'mae': 37.10710233874728, 'mdae': 30.449822863864995, 'r2': 0.2671756899068135}","{'mse': 2026.0017970565202, 'rmse': 45.01112970206947, 'mae': 36.035896763192184, 'mdae': 30.580568096709996, 'r2': 0.2615871436276883}","{'mse': 2087.872516130741, 'rmse': 45.6932436595471, 'mae': 36.74699341082781, 'mdae': 31.270719196545, 'r2': 0.24818871548158628}","{'mse': 2068.467879878442, 'rmse': 45.48041204604947, 'mae': 36.62653038267285, 'mdae': 31.027525374421685, 'r2': 0.24851218871597536}","{'mse': 2091.8858339798444, 'rmse': 45.737138454212946, 'mae': 37.00819252881769, 'mdae': 31.2688511171, 'r2': 0.2725136990150856}",2092.7034632227824,45.74235311826876,36.704943084851564,30.919497329728337,0.25959548734942983,59.97771271700455,0.652489871943636,0.4210795806802281,0.3848837668049244,0.010968822990910855
10,40.96526865442974,2024-07-10 18:50:28.446156,2024-07-10 18:50:34.273159,0 days 00:00:05.827003,cityblock,13,distance,COMPLETE,"{'mse': 1739.3862194855885, 'rmse': 41.705949449516055, 'mae': 31.72403243020367, 'mdae': 23.79142947808363, 'r2': 0.41777246495252074}","{'mse': 1639.0355827880092, 'rmse': 40.485004418772256, 'mae': 30.984221403937514, 'mdae': 24.464984999585475, 'r2': 0.40262395218962066}","{'mse': 1695.7125318340286, 'rmse': 41.179030243972825, 'mae': 31.557602702372694, 'mdae': 24.825896284738896, 'r2': 0.38939958887208137}","{'mse': 1645.1049572116515, 'rmse': 40.55989345661119, 'mae': 31.209122311117955, 'mdae': 25.262228959031393, 'r2': 0.40232268740854926}","{'mse': 1672.520907019263, 'rmse': 40.8964657032764, 'mae': 31.1609625130124, 'mdae': 24.674061487404046, 'r2': 0.4183544683925131}",1678.3520396677081,40.96526865442974,31.327188272128847,24.603720241768688,0.4060946323630571,40.962519989848815,0.49850242991363275,0.3040447920467263,0.5401406223869157,0.012162164900094677
11,42.14467043022293,2024-07-10 18:50:34.274161,2024-07-10 18:50:39.942321,0 days 00:00:05.668160,cityblock,5,distance,COMPLETE,"{'mse': 1853.4925626343665, 'rmse': 43.052207407220905, 'mae': 32.14627212540976, 'mdae': 23.779148105753354, 'r2': 0.3795774659577358}","{'mse': 1757.5708488751352, 'rmse': 41.9233926212459, 'mae': 31.516836479281412, 'mdae': 23.728218924806292, 'r2': 0.3594216388750856}","{'mse': 1747.7319076619424, 'rmse': 41.80588364885907, 'mae': 31.4977806096345, 'mdae': 23.580392300953534, 'r2': 0.37066819916371607}","{'mse': 1753.5919730314222, 'rmse': 41.87591160836289, 'mae': 31.455702681343137, 'mdae': 23.96794131045471, 'r2': 0.3629086501570131}","{'mse': 1769.5447270038726, 'rmse': 42.0659568654259, 'mae': 31.446502853223503, 'mdae': 24.243632087272132, 'r2': 0.3846129043159766}",1776.3864038413478,42.14467043022293,31.612618949778465,23.859866545848003,0.37143777169390546,43.83736876710691,0.5161857335789684,0.29973534606266805,0.2553960462624369,0.01069537687867541
12,42.78315352640636,2024-07-10 18:50:39.942321,2024-07-10 18:50:45.755739,0 days 00:00:05.813418,cityblock,86,distance,COMPLETE,"{'mse': 1896.5696673855296, 'rmse': 43.54962304527479, 'mae': 34.13828572060072, 'mdae': 27.663559902106943, 'r2': 0.3651581976921351}","{'mse': 1783.1958249282009, 'rmse': 42.22790339252235, 'mae': 33.420526592723895, 'mdae': 28.223509874792384, 'r2': 0.3500821546804975}","{'mse': 1836.969126350766, 'rmse': 42.85987781539707, 'mae': 34.114179454520425, 'mdae': 28.788884753074132, 'r2': 0.33853522768630717}","{'mse': 1817.5100327658429, 'rmse': 42.63226516109416, 'mae': 34.01488433011788, 'mdae': 28.808679884190326, 'r2': 0.3396868040367029}","{'mse': 1818.6896931974177, 'rmse': 42.64609821774341, 'mae': 34.11479457649033, 'mdae': 29.560535691436975, 'r2': 0.3675219669964426}",1830.5868689255512,42.78315352640636,33.96053413489065,28.609034021120152,0.35219687021841706,41.69208674276382,0.4855966194983836,0.30559813629476146,0.7106529325498275,0.0136973433143908
13,42.95191415711959,2024-07-10 18:50:45.756742,2024-07-10 18:50:51.742841,0 days 00:00:05.986099,cityblock,95,distance,COMPLETE,"{'mse': 1908.9586509564617, 'rmse': 43.69163136066748, 'mae': 34.30973367909569, 'mdae': 27.793171382447873, 'r2': 0.36101121337925446}","{'mse': 1795.0111373981829, 'rmse': 42.36757176660214, 'mae': 33.558295426949776, 'mdae': 28.278549284163965, 'r2': 0.345775851180389}","{'mse': 1847.1553713170033, 'rmse': 42.97854547698192, 'mae': 34.22485633720261, 'mdae': 28.641230170364256, 'r2': 0.33486731508469003}","{'mse': 1835.1162432414778, 'rmse': 42.83825677173942, 'mae': 34.18979858613643, 'mdae': 28.79470748823985, 'r2': 0.3332903534541015}","{'mse': 1839.0001822400384, 'rmse': 42.88356540960696, 'mae': 34.32953599362204, 'mdae': 29.59685383844598, 'r2': 0.36045867400750353}",1845.048317030633,42.95191415711959,34.12244400460131,28.620902432732386,0.3470806814211877,41.011936768595646,0.47616602942565367,0.3206450753082108,0.6681030853265344,0.013361067050771405
14,43.392470417173065,2024-07-10 18:50:51.743840,2024-07-10 18:50:57.568740,0 days 00:00:05.824900,cityblock,98,uniform,COMPLETE,"{'mse': 1949.2656318573775, 'rmse': 44.15048846680382, 'mae': 34.7476634830267, 'mdae': 27.989599299744903, 'r2': 0.34751919310667445}","{'mse': 1826.2754891648951, 'rmse': 42.734944590637944, 'mae': 33.892527787864566, 'mdae': 28.938896756122446, 'r2': 0.3343809949052231}","{'mse': 1886.1820004680621, 'rmse': 43.430196873466535, 'mae': 34.67083111647941, 'mdae': 29.43190894632653, 'r2': 0.32081441675598577}","{'mse': 1875.811264844362, 'rmse': 43.31063685567741, 'mae': 34.581814370416254, 'mdae': 29.486638639744896, 'r2': 0.3185055878737413}","{'mse': 1878.0162890664378, 'rmse': 43.3360852992796, 'mae': 34.80158649185077, 'mdae': 29.989305141326533, 'r2': 0.34689020732881815}",1883.1101350802269,43.392470417173065,34.53888464992754,29.167269756653063,0.3336220799940886,43.86166851889553,0.5045371331572375,0.37068547414646635,0.7561141597502399,0.013804831394498437
15,45.4388430833103,2024-07-10 18:50:57.569740,2024-07-10 18:51:03.731703,0 days 00:00:06.161963,cityblock,468,distance,COMPLETE,"{'mse': 2165.586261270906, 'rmse': 46.53585994983767, 'mae': 36.792267300381845, 'mdae': 29.725584777932323, 'r2': 0.27510984236420033}","{'mse': 1994.2834570218226, 'rmse': 44.65740092103237, 'mae': 35.74374098919189, 'mdae': 30.04137835296325, 'r2': 0.2731474641063951}","{'mse': 2061.3055621777407, 'rmse': 45.40160307938191, 'mae': 36.47250940395962, 'mdae': 31.388415130030232, 'r2': 0.2577550733999143}","{'mse': 2028.832825958226, 'rmse': 45.04256682248722, 'mae': 36.1994833646452, 'mdae': 30.444296311443296, 'r2': 0.2629118611548714}","{'mse': 2075.420627082699, 'rmse': 45.55678464381237, 'mae': 36.81396340760657, 'mdae': 31.141817944180502, 'r2': 0.27823973447361094}",2065.085746702279,45.4388430833103,36.40439289315702,30.548298503309923,0.26943279509979845,64.32085871345667,0.7047037964473648,0.4475721378219625,0.7075845606442531,0.008695998738196748
