number,value,datetime_start,datetime_complete,duration,params_dropout_rate,params_learning_rate,params_num_layers,params_num_units,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
0,45.0589938404129,2024-07-10 17:36:12.819901,2024-07-10 17:36:37.928452,0 days 00:00:25.108551,0.4,0.015751320499779727,2,128,COMPLETE,"{'mse': 2218.2980845635675, 'rmse': 47.09881192305776, 'mae': 36.342852715601374, 'mdae': 29.590618798759767, 'r2': 0.25746552933024924}","{'mse': 1869.7680163763162, 'rmse': 43.24081424275352, 'mae': 34.10990846076165, 'mdae': 28.895985996386727, 'r2': 0.31852935978046915}","{'mse': 1982.6141312031195, 'rmse': 44.52655534850096, 'mae': 34.28760002869595, 'mdae': 25.968097418291016, 'r2': 0.28609066637532254}","{'mse': 2041.8119198484385, 'rmse': 45.1864130004633, 'mae': 35.870791063797604, 'mdae': 29.60292924795899, 'r2': 0.2581964720715375}","{'mse': 2046.872467345048, 'rmse': 45.242374687288994, 'mae': 33.61131602595833, 'mdae': 24.00986496291992, 'r2': 0.2881678074067108}",2031.872923867298,45.0589938404129,34.84449365896298,27.613499284863288,0.28168996699285787,126.27602719209638,1.3964230899559207,1.1904662142593558,2.5102356933331564,0.025284566024206315
1,44.33298474449197,2024-07-10 17:36:37.929451,2024-07-10 17:36:51.843773,0 days 00:00:13.914322,0.05,0.05399484409787434,1,32,COMPLETE,"{'mse': 2275.4275040962557, 'rmse': 47.7014413209523, 'mae': 36.359296756755604, 'mdae': 27.408128613720706, 'r2': 0.23834250723165662}","{'mse': 1928.7082404275425, 'rmse': 43.91706092656409, 'mae': 34.12077046743719, 'mdae': 27.154998058984372, 'r2': 0.2970475332292186}","{'mse': 1908.3131576852795, 'rmse': 43.684243814964674, 'mae': 34.21909395356017, 'mdae': 27.88626537, 'r2': 0.31284532208818017}","{'mse': 1863.0024170439367, 'rmse': 43.162511709166516, 'mae': 33.63762033186152, 'mdae': 28.391409790722662, 'r2': 0.3231591254472508}","{'mse': 1866.2111382617684, 'rmse': 43.19966595081226, 'mae': 32.3551365373449, 'mdae': 23.625038480664074, 'r2': 0.3509956347627422}",1968.3324915029564,44.33298474449197,34.13838360939187,26.893168062818365,0.30447802455180967,173.9273870313686,1.9101554739074313,1.446548786823781,1.8871526712480753,0.041868849133226194
2,48.675702886071846,2024-07-10 17:36:51.844773,2024-07-10 17:37:15.113111,0 days 00:00:23.268338,0.05,0.08706020878304858,3,96,COMPLETE,"{'mse': 2502.90251403504, 'rmse': 50.02901672064963, 'mae': 37.75427413556319, 'mdae': 28.00223328724609, 'r2': 0.16219943283112004}","{'mse': 2798.3063213585106, 'rmse': 52.899020041570814, 'mae': 38.902441381136, 'mdae': 25.85246692515137, 'r2': -0.019893154468603402}","{'mse': 2157.4960879494506, 'rmse': 46.44885453861538, 'mae': 35.189446678570945, 'mdae': 26.365701326982425, 'r2': 0.22311832130886744}","{'mse': 1833.863060596858, 'rmse': 42.82362736383804, 'mae': 32.77003706862501, 'mdae': 27.150713959990235, 'r2': 0.3337456428457839}","{'mse': 2619.1872505925044, 'rmse': 51.17799576568532, 'mae': 37.66361847077862, 'mdae': 26.893544214648443, 'r2': 0.08913631252270904}",2382.351046906472,48.675702886071846,36.455963546934754,26.852931942803714,0.1576613110079754,385.694716596323,4.035312170906157,2.465735872626164,0.8138705350454724,0.13372749370834294
3,45.316785987895045,2024-07-10 17:37:15.114110,2024-07-10 17:37:32.816904,0 days 00:00:17.702794,0.1,0.002327067708383781,4,32,COMPLETE,"{'mse': 2455.300454098578, 'rmse': 49.55098842705944, 'mae': 36.735290530024606, 'mdae': 26.183707842792966, 'r2': 0.17813334659305913}","{'mse': 1959.9220425947556, 'rmse': 44.27100679445584, 'mae': 34.100855911025874, 'mdae': 27.595003611230467, 'r2': 0.2856711006663164}","{'mse': 1985.5882139273203, 'rmse': 44.559939563775444, 'mae': 34.35117494763067, 'mdae': 27.087968965981442, 'r2': 0.2850197442113156}","{'mse': 2026.4567031014828, 'rmse': 45.01618268024826, 'mae': 33.63212925888326, 'mdae': 25.685259623398437, 'r2': 0.2637751220168486}","{'mse': 1865.014399033986, 'rmse': 43.18581247393623, 'mae': 32.991663925706504, 'mdae': 25.87031379234375, 'r2': 0.35141181970932056}",2058.4563625512246,45.316785987895045,34.36222291465418,26.48445076714942,0.27280222663937204,229.64526107864037,2.4610135814700835,1.4240218891982572,0.8221737727576036,0.06232581576693196
4,44.04524760354214,2024-07-10 17:37:32.816904,2024-07-10 17:37:52.829427,0 days 00:00:20.012523,0.25,0.0038234752246751854,2,80,COMPLETE,"{'mse': 2307.675186868356, 'rmse': 48.03826794201011, 'mae': 36.6118334942219, 'mdae': 27.441676161318362, 'r2': 0.227548188729498}","{'mse': 1924.6218180591272, 'rmse': 43.87051194206796, 'mae': 34.615466065174544, 'mdae': 28.814024008652343, 'r2': 0.298536903484363}","{'mse': 1892.5661956148465, 'rmse': 43.50363428053852, 'mae': 33.99536209046041, 'mdae': 27.068538723583984, 'r2': 0.31851556473468756}","{'mse': 1886.1164424398107, 'rmse': 43.429442115226514, 'mae': 33.31985435973448, 'mdae': 27.053818290156244, 'r2': 0.31476164994198474}","{'mse': 1712.667051825548, 'rmse': 41.384381737867585, 'mae': 31.549438170709884, 'mdae': 24.510300450166017, 'r2': 0.4043930131785043}",1944.7293389615377,44.04524760354214,34.01839083606025,26.97767152677539,0.3127510640138075,219.17080735290727,2.435544729676317,1.8484219246438736,1.5563953502637695,0.06304183350623398
5,44.851691058406786,2024-07-10 17:37:52.830425,2024-07-10 17:38:08.521206,0 days 00:00:15.690781,0.15000000000000002,0.005404103854647328,3,32,COMPLETE,"{'mse': 2483.4923844462746, 'rmse': 49.834650439691806, 'mae': 36.873211851867005, 'mdae': 25.989055424472653, 'r2': 0.16869661659560986}","{'mse': 1961.4427972595868, 'rmse': 44.2881789788154, 'mae': 34.627661936941024, 'mdae': 28.463959928847657, 'r2': 0.28511683423006207}","{'mse': 1875.5986683653987, 'rmse': 43.308182464349606, 'mae': 34.21412428643975, 'mdae': 29.12349198905762, 'r2': 0.32462531442388254}","{'mse': 1940.8716918008602, 'rmse': 44.05532535120879, 'mae': 33.137089941057596, 'mdae': 25.55550058430664, 'r2': 0.2948687123242809}","{'mse': 1829.4540831647773, 'rmse': 42.77211805796829, 'mae': 32.451012316999886, 'mdae': 24.810869288984374, 'r2': 0.36377848056304807}",2018.1719250073795,44.851691058406786,34.260620066661055,26.788575443133787,0.28741719162737667,265.35740393875466,2.849941711819028,1.6955469308614626,1.892734526503358,0.07309391662560247
6,44.49359295911769,2024-07-10 17:38:08.522207,2024-07-10 17:38:31.038824,0 days 00:00:22.516617,0.1,0.01067748270948136,2,112,COMPLETE,"{'mse': 2150.2393151107144, 'rmse': 46.370673006877034, 'mae': 36.40815190339816, 'mdae': 29.963957363447257, 'r2': 0.2802469502320536}","{'mse': 1864.1647960485523, 'rmse': 43.17597475504812, 'mae': 33.789667910807616, 'mdae': 27.0617761093457, 'r2': 0.3205715543792689}","{'mse': 1905.5851182092795, 'rmse': 43.65300812325858, 'mae': 33.85513076271642, 'mdae': 27.27500028105957, 'r2': 0.3138276478033869}","{'mse': 1892.738414550697, 'rmse': 43.50561359814038, 'mae': 34.14010532793624, 'mdae': 27.514748595595705, 'r2': 0.3123558444777558}","{'mse': 2094.224282243139, 'rmse': 45.76269531226432, 'mae': 33.912710777995926, 'mdae': 23.683351640039064, 'r2': 0.2717004667394636}",1981.3903852324765,44.49359295911769,34.421153336570875,27.099766797897463,0.2997404927263857,130.9474117817706,1.4622631521162228,1.1185728094502454,2.240526728533254,0.02212334414078315
7,54.92495074417997,2024-07-10 17:38:31.038824,2024-07-10 17:38:46.528856,0 days 00:00:15.490032,0.35000000000000003,0.002193048555664369,3,16,COMPLETE,"{'mse': 3359.945739946904, 'rmse': 57.965038945444554, 'mae': 41.746687351454476, 'mdae': 27.332590169296875, 'r2': -0.12468001881785207}","{'mse': 3063.697799754112, 'rmse': 55.350680210401315, 'mae': 40.02853934680597, 'mdae': 25.798729646879877, 'r2': -0.11661986019200388}","{'mse': 2837.399329592095, 'rmse': 53.26724443400555, 'mae': 38.95395372314225, 'mdae': 25.995584513237304, 'r2': -0.021704542873890675}","{'mse': 2845.750839539163, 'rmse': 53.34557938141794, 'mae': 38.52303337251512, 'mdae': 24.698338819423828, 'r2': -0.03387975741283311}","{'mse': 2991.675470367992, 'rmse': 54.696210749630474, 'mae': 39.49305366168231, 'mdae': 23.963475465380853, 'r2': -0.04040234239010787}",3019.6938358400535,54.92495074417997,39.74905349112002,25.557743722843746,-0.06745730433733751,213.29568025544475,1.9182093177810806,1.2519483084793934,1.2922970582048146,0.04910227529261268
8,45.092815745384804,2024-07-10 17:38:46.529854,2024-07-10 17:39:08.587750,0 days 00:00:22.057896,0.5,0.041380401125610165,1,128,COMPLETE,"{'mse': 2309.2977483192326, 'rmse': 48.05515319213156, 'mae': 36.946976198801565, 'mdae': 28.350054896894527, 'r2': 0.2270050661363534}","{'mse': 1934.6242013138713, 'rmse': 43.984363145484686, 'mae': 34.44033093129, 'mdae': 28.076110480859374, 'r2': 0.29489135469936356}","{'mse': 1976.192213731781, 'rmse': 44.45438351537204, 'mae': 35.351972322593404, 'mdae': 29.608923167695316, 'r2': 0.28840310163461014}","{'mse': 1959.1720259695064, 'rmse': 44.262535241098725, 'mae': 34.7145735134403, 'mdae': 29.3848348169336, 'r2': 0.28822008209707595}","{'mse': 1998.7733992007509, 'rmse': 44.707643632837, 'mae': 33.488158888569686, 'mdae': 24.864813480458984, 'r2': 0.3048950171792175}",2035.6119177070286,45.092815745384804,34.98840237093899,28.05694736856836,0.2806829243493241,154.78475979185123,1.677008445046163,1.2839674452146153,1.9005204526821158,0.030764538346844353
9,50.179905917981785,2024-07-10 17:39:08.588755,2024-07-10 17:39:23.188147,0 days 00:00:14.599392,0.35000000000000003,0.007591104805282696,2,16,COMPLETE,"{'mse': 2624.1569048020724, 'rmse': 51.226525402393555, 'mae': 37.86145100084957, 'mdae': 27.164662616320797, 'r2': 0.12161175640877142}","{'mse': 2308.3377524253583, 'rmse': 48.04516367362441, 'mae': 35.89508513882095, 'mdae': 25.758094066132813, 'r2': 0.15868471799144235}","{'mse': 2389.4829179558524, 'rmse': 48.882337484574656, 'mae': 36.427823822619615, 'mdae': 26.609702514799807, 'r2': 0.13958337589865344}","{'mse': 2503.949437193206, 'rmse': 50.03947878618647, 'mae': 36.43450578493053, 'mdae': 25.045675961743164, 'r2': 0.09029891136971913}","{'mse': 2777.924991517391, 'rmse': 52.706024243129846, 'mae': 38.0021080902646, 'mdae': 24.282890401601563, 'r2': 0.033932758821862086}",2520.7704007787765,50.179905917981785,36.924194767497056,25.77220511211963,0.10882230409808968,186.72455034118906,1.8531874032570252,0.9467830296268172,1.160435460875926,0.048855997630404206
10,45.95298420330306,2024-07-10 17:39:23.188147,2024-07-10 17:39:43.679783,0 days 00:00:20.491636,0.2,0.0010862348973937142,4,64,COMPLETE,"{'mse': 2523.9216489437063, 'rmse': 50.23864696569471, 'mae': 37.438025940202515, 'mdae': 27.03259349013672, 'r2': 0.15516366413891858}","{'mse': 1972.689731316176, 'rmse': 44.41497192745005, 'mae': 34.47094708421341, 'mdae': 28.76663932827637, 'r2': 0.2810176864828968}","{'mse': 2079.216025704072, 'rmse': 45.598421307146936, 'mae': 34.843210891587105, 'mdae': 27.094327679204106, 'r2': 0.2513057866326335}","{'mse': 2067.3597128646024, 'rmse': 45.46822750959842, 'mae': 33.926265315886766, 'mdae': 25.15605245188477, 'r2': 0.24891479298741148}","{'mse': 1939.9314849008078, 'rmse': 44.04465330662517, 'mae': 33.44275687024685, 'mdae': 25.222278522207034, 'r2': 0.3253582211847136}",2116.6237207458726,45.95298420330306,34.82424122042733,26.654378294341797,0.2523520302853148,235.4012637796311,2.486705540683422,1.554984476720452,1.5078245055851383,0.062470215893468545
11,44.069303372786905,2024-07-10 17:39:43.680781,2024-07-10 17:40:01.414890,0 days 00:00:17.734109,0.25,0.0288044539749978,1,64,COMPLETE,"{'mse': 2328.564560414997, 'rmse': 48.25520241813308, 'mae': 36.88235973722589, 'mdae': 29.147581210712886, 'r2': 0.2205558552658331}","{'mse': 1933.500260006812, 'rmse': 43.9715846883736, 'mae': 34.89678376456064, 'mdae': 28.94118964899414, 'r2': 0.2953009953581953}","{'mse': 1889.4556262067513, 'rmse': 43.46786889423901, 'mae': 34.21358561496607, 'mdae': 28.362896253769527, 'r2': 0.3196356336872773}","{'mse': 1894.6617009476352, 'rmse': 43.52771187355976, 'mae': 33.28387512698722, 'mdae': 26.78917094001953, 'r2': 0.3116571020418847}","{'mse': 1691.1956301212101, 'rmse': 41.12414898962908, 'mae': 31.515006480091984, 'mdae': 24.433997213916015, 'r2': 0.4118600388157775}",1947.4755555394809,44.069303372786905,34.15832214476636,27.534967053482422,0.31180192503379356,233.05533362876207,2.591345156659401,1.9824565386280344,1.964413332121879,0.06832119002702171
12,43.93911347205772,2024-07-10 17:40:01.415890,2024-07-10 17:40:19.107652,0 days 00:00:17.691762,0.25,0.02479201332659859,1,80,COMPLETE,"{'mse': 2280.7893796201934, 'rmse': 47.75761069840276, 'mae': 36.43622923817275, 'mdae': 27.46932535477539, 'r2': 0.2365477180499549}","{'mse': 1917.1219338152582, 'rmse': 43.78495099706357, 'mae': 34.62369985271951, 'mdae': 28.748531251064453, 'r2': 0.30127037141860824}","{'mse': 1881.8957037678394, 'rmse': 43.38082184292777, 'mae': 34.27870453149118, 'mdae': 28.888681006591796, 'r2': 0.3223578473070011}","{'mse': 1842.508815283828, 'rmse': 42.92445474649419, 'mae': 33.031114999705004, 'mdae': 26.66349742012695, 'r2': 0.33060458403128046}","{'mse': 1751.232428768107, 'rmse': 41.84772907540034, 'mae': 31.901589980754878, 'mdae': 24.692267669179685, 'r2': 0.3909812949277742}",1934.709652251045,43.93911347205772,34.05426772056867,27.292460540347655,0.3163523631469238,203.12231817585345,2.2538743145638027,1.7123980588833743,1.7216228120524129,0.05568868141828823
13,42.82070057755217,2024-07-10 17:40:19.107652,2024-07-10 17:40:38.077315,0 days 00:00:18.969663,0.25,0.004330843599379617,1,80,COMPLETE,"{'mse': 2098.0950562972866, 'rmse': 45.80496759410803, 'mae': 35.915666799027875, 'mdae': 29.797506595654294, 'r2': 0.2977012814988601}","{'mse': 1758.189137132968, 'rmse': 41.9307659974507, 'mae': 32.87920138378235, 'mdae': 26.96205023778809, 'r2': 0.3591962925801361}","{'mse': 1790.54429223053, 'rmse': 42.3148235519248, 'mae': 33.493997302546106, 'mdae': 27.94149071889649, 'r2': 0.355252107622143}","{'mse': 1792.672660412809, 'rmse': 42.3399652859188, 'mae': 32.977704160247725, 'mdae': 27.100666166123048, 'r2': 0.3487103826811656}","{'mse': 1739.9727387194005, 'rmse': 41.71298045835853, 'mae': 32.16085200893456, 'mdae': 26.01061269094727, 'r2': 0.39489702977845975}",1835.8947769585986,42.82070057755217,33.48548433090773,27.56246528188184,0.35115141883215284,148.2506392816971,1.6890748230251205,1.4392645518763394,1.4248748250858638,0.034849999848196804
14,43.806616163732265,2024-07-10 17:40:38.078376,2024-07-10 17:40:55.589156,0 days 00:00:17.510780,0.3,0.019575500799074524,1,80,COMPLETE,"{'mse': 2254.9729987598303, 'rmse': 47.486555979138245, 'mae': 36.59873316055604, 'mdae': 28.729322762705078, 'r2': 0.24518927656283163}","{'mse': 1927.9957445168743, 'rmse': 43.908948342187315, 'mae': 34.94804989574596, 'mdae': 28.945314424121094, 'r2': 0.29730721520053494}","{'mse': 1884.9579173549573, 'rmse': 43.416102051600134, 'mae': 34.24895418737754, 'mdae': 28.533326107290037, 'r2': 0.32125519055348095}","{'mse': 1839.7705992951212, 'rmse': 42.89254712995162, 'mae': 32.82219502399363, 'mdae': 25.636522026660153, 'r2': 0.3315993956791641}","{'mse': 1708.0802330733563, 'rmse': 41.32892731578399, 'mae': 31.827761244163362, 'mdae': 26.376165041914064, 'r2': 0.4059881517626075}",1923.1554986000278,43.806616163732265,34.0891387023673,27.644130072538086,0.3202678459517238,202.97521269804562,2.2737301080655885,1.8560918662997088,1.5247638230701623,0.05839805613818543
15,43.94225290417664,2024-07-10 17:40:55.590155,2024-07-10 17:41:13.879511,0 days 00:00:18.289356,0.35000000000000003,0.013597694943100914,1,96,COMPLETE,"{'mse': 2247.2748959195005, 'rmse': 47.40543108040998, 'mae': 36.788151052055504, 'mdae': 29.05483572053711, 'r2': 0.24776607485584834}","{'mse': 1923.8214973896054, 'rmse': 43.861389597111554, 'mae': 34.614588261083966, 'mdae': 28.427490372597664, 'r2': 0.2988285947713373}","{'mse': 1926.7370980079609, 'rmse': 43.89461354207326, 'mae': 34.3392383338189, 'mdae': 28.449417740537108, 'r2': 0.30621114010011763}","{'mse': 1849.0919704114121, 'rmse': 43.001069410090395, 'mae': 32.92841716235607, 'mdae': 26.255705105717773, 'r2': 0.32821288102912305}","{'mse': 1726.2995315939447, 'rmse': 41.548760891198, 'mae': 32.09895415705205, 'mdae': 26.09320550507813, 'r2': 0.3996521032689542}",1934.644998664485,43.94225290417664,34.1538697932733,27.65613088889355,0.31613415880507606,192.7720739775571,2.1573735101578353,1.7965573449924663,1.3770078810333588,0.05521160731148513
