number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
0,39.001116982087254,2024-07-10 18:22:16.617330,2024-07-10 18:22:33.735105,0 days 00:00:17.117775,10,3,8,218,COMPLETE,"{'mse': 1583.3167727213204, 'rmse': 39.79091319285498, 'mae': 29.69719502096894, 'mdae': 21.602976896463897, 'r2': 0.47001384082857967}","{'mse': 1490.2843760379128, 'rmse': 38.60420153348483, 'mae': 29.27283538764937, 'mdae': 22.826547158495774, 'r2': 0.4568390094638777}","{'mse': 1533.470051030374, 'rmse': 39.159546103477425, 'mae': 29.87927483293769, 'mdae': 22.999365504805475, 'r2': 0.4478206500020473}","{'mse': 1499.3109338044344, 'rmse': 38.720936633873336, 'mae': 29.461825007182426, 'mdae': 22.700043578560464, 'r2': 0.45529060275032385}","{'mse': 1500.011927625079, 'rmse': 38.72998744674569, 'mae': 29.148122258852716, 'mdae': 21.663623124444797, 'r2': 0.4783471875302474}",1521.278812243824,39.001116982087254,29.49185050151823,22.35851125255408,0.46166225811501516,38.38247641696402,0.48949769326488807,0.29970078389256855,0.6708386142371575,0.012284010320360254
1,41.48662012815965,2024-07-10 18:22:33.736105,2024-07-10 18:22:37.875822,0 days 00:00:04.139717,3,4,2,120,COMPLETE,"{'mse': 1736.1248310278472, 'rmse': 41.66683130534223, 'mae': 31.985110156110967, 'mdae': 24.990436004983398, 'r2': 0.41886415473441674}","{'mse': 1701.6953066039307, 'rmse': 41.25160974560788, 'mae': 32.106053406616105, 'mdae': 26.14861825, 'r2': 0.3797864869368077}","{'mse': 1699.3081718649173, 'rmse': 41.22266575398682, 'mae': 32.134740454442564, 'mdae': 26.70427164559174, 'r2': 0.38810485333176303}","{'mse': 1755.500486397491, 'rmse': 41.898693134720695, 'mae': 32.39831871829841, 'mdae': 25.91512667019596, 'r2': 0.3622152748591779}","{'mse': 1713.405342935048, 'rmse': 41.39330070114062, 'mae': 32.05204121125843, 'mdae': 25.87987764383483, 'r2': 0.4041362607976736}",1721.2068277658468,41.48662012815965,32.135252789345294,25.927666042921185,0.3906214061319678,24.081712966238463,0.2897803211611562,0.15773674782452404,0.6190269079128826,0.0218571552992671
2,39.09860865526317,2024-07-10 18:22:37.876823,2024-07-10 18:22:59.959718,0 days 00:00:22.082895,8,4,2,321,COMPLETE,"{'mse': 1585.3081030919316, 'rmse': 39.81592775626272, 'mae': 29.81601451960256, 'mdae': 21.973398892596066, 'r2': 0.46934727962431244}","{'mse': 1495.6796256479913, 'rmse': 38.67401744903148, 'mae': 29.460516220348985, 'mdae': 22.938388850669654, 'r2': 0.45487261354004005}","{'mse': 1542.9600829651354, 'rmse': 39.28053058405825, 'mae': 30.048156717840516, 'mdae': 23.10378755712504, 'r2': 0.444403433173016}","{'mse': 1512.000536415775, 'rmse': 38.884451088009136, 'mae': 29.67182945952545, 'mdae': 22.777592663361766, 'r2': 0.4506803877282658}","{'mse': 1508.39928541872, 'rmse': 38.83811639895426, 'mae': 29.357239640621515, 'mdae': 22.385297948168784, 'r2': 0.4754303515360362}",1528.8695267079106,39.09860865526317,29.67075131158781,22.635693182384262,0.4589468131203341,36.01742572760464,0.45870460332704066,0.276597977258854,0.4561260718179409,0.013003072074293211
3,41.500353200399374,2024-07-10 18:22:59.960715,2024-07-10 18:23:12.973776,0 days 00:00:13.013061,3,1,3,425,COMPLETE,"{'mse': 1736.9196325646813, 'rmse': 41.67636779476687, 'mae': 31.97717401512208, 'mdae': 24.988783740844738, 'r2': 0.418598109543039}","{'mse': 1703.5233840350859, 'rmse': 41.27376144762052, 'mae': 32.13129225610213, 'mdae': 26.261690811475965, 'r2': 0.37912021118149}","{'mse': 1697.8926372471033, 'rmse': 41.205492804322866, 'mae': 32.09997019781499, 'mdae': 26.5784152534693, 'r2': 0.38861456591769783}","{'mse': 1758.7293648685686, 'rmse': 41.93720740426774, 'mae': 32.416327766613506, 'mdae': 25.87343076135378, 'r2': 0.3610422023455865}","{'mse': 1714.700026286307, 'rmse': 41.408936551018876, 'mae': 32.07216230278455, 'mdae': 25.98036834481067, 'r2': 0.4036860142369604}",1722.3530090003492,41.500353200399374,32.13938530768745,25.93653778239089,0.39021222064495475,25.233204787428313,0.30350708898375034,0.1651874766364979,0.5962114804694912,0.022157261475896296
4,39.55142867600803,2024-07-10 18:23:12.973776,2024-07-10 18:23:23.422432,0 days 00:00:10.448656,6,2,5,187,COMPLETE,"{'mse': 1593.8698975687846, 'rmse': 39.92330018383731, 'mae': 30.08071393100291, 'mdae': 22.873413271737107, 'r2': 0.4664813764465148}","{'mse': 1529.1498700005982, 'rmse': 39.10434592216827, 'mae': 29.914684750627032, 'mdae': 24.012322795017816, 'r2': 0.44267377996950985}","{'mse': 1581.762904838093, 'rmse': 39.77138298875327, 'mae': 30.54109150716417, 'mdae': 23.917850991026135, 'r2': 0.430431124456912}","{'mse': 1560.4792099578087, 'rmse': 39.50290128532092, 'mae': 30.34414424075173, 'mdae': 23.43845852800019, 'r2': 0.4330677708593025}","{'mse': 1556.7138328722424, 'rmse': 39.45521299996038, 'mae': 30.041819957419357, 'mdae': 23.12248479191956, 'r2': 0.45862820543428007}",1564.3951430475054,39.55142867600803,30.18449087739304,23.472906075540163,0.4462564514333039,24.93474801269749,0.3155010581502074,0.2532652747780389,0.49303136472904313,0.01580605653587349
5,41.498101308202216,2024-07-10 18:23:23.423484,2024-07-10 18:23:33.238966,0 days 00:00:09.815482,3,2,4,325,COMPLETE,"{'mse': 1737.9730934661952, 'rmse': 41.68900446719969, 'mae': 31.990090597942416, 'mdae': 25.047981732231765, 'r2': 0.41824548288825336}","{'mse': 1703.461652170184, 'rmse': 41.27301360659509, 'mae': 32.131614511203324, 'mdae': 26.262162017802147, 'r2': 0.3791427104718448}","{'mse': 1696.35116242811, 'rmse': 41.18678383205115, 'mae': 32.08178111731404, 'mdae': 26.46806130946152, 'r2': 0.3891696276634541}","{'mse': 1758.3820592696004, 'rmse': 41.933066418634354, 'mae': 32.40806020729848, 'mdae': 25.83275914535369, 'r2': 0.36116838072474045}","{'mse': 1714.6753189475344, 'rmse': 41.40863821653079, 'mae': 32.06727452608537, 'mdae': 25.865269302097218, 'r2': 0.40369460660380896}",1722.1686572563249,41.498101308202216,32.135764191968725,25.895246701389272,0.39028416167042035,25.66045540707901,0.3087172462593052,0.16045882843696052,0.5443814590267582,0.021993057646096124
6,39.02628906983682,2024-07-10 18:23:33.239964,2024-07-10 18:23:51.314132,0 days 00:00:18.074168,9,3,3,255,COMPLETE,"{'mse': 1582.1542991418548, 'rmse': 39.77630323624676, 'mae': 29.73549460670911, 'mdae': 21.714349592422252, 'r2': 0.4704029574716505}","{'mse': 1489.6921877201842, 'rmse': 38.596530773117216, 'mae': 29.301278864912412, 'mdae': 22.911082447238456, 'r2': 0.457054843165427}","{'mse': 1537.7064832106066, 'rmse': 39.21360074273474, 'mae': 29.95166602503329, 'mdae': 23.307130570504683, 'r2': 0.44629517490977555}","{'mse': 1505.8868287371822, 'rmse': 38.805757675081956, 'mae': 29.58365288463923, 'mdae': 23.00850329261477, 'r2': 0.4529015374240909}","{'mse': 1500.7297169549522, 'rmse': 38.739252922003445, 'mae': 29.214719042490557, 'mdae': 21.683729121690902, 'r2': 0.4780975649667242}",1523.233903152956,39.02628906983682,29.557362284756927,22.524959004894214,0.4609504155875336,37.46156262893879,0.4778396573261528,0.30449994612160847,0.7680257295408265,0.013020284975876073
7,42.32116446580993,2024-07-10 18:23:51.315130,2024-07-10 18:23:58.423515,0 days 00:00:07.108385,2,1,7,317,COMPLETE,"{'mse': 1798.8044297382128, 'rmse': 42.41231460010421, 'mae': 32.68735566832494, 'mdae': 26.106970952209924, 'r2': 0.3978833122705193}","{'mse': 1786.3704679441548, 'rmse': 42.26547607615647, 'mae': 33.03339581476831, 'mdae': 26.52258386468958, 'r2': 0.3489250988374185}","{'mse': 1761.9656618667304, 'rmse': 41.97577470240103, 'mae': 32.809921752131245, 'mdae': 26.65777652268934, 'r2': 0.365542839761001}","{'mse': 1818.9485112303953, 'rmse': 42.64913259645963, 'mae': 32.97710274521827, 'mdae': 26.523861589214825, 'r2': 0.3391641954705167}","{'mse': 1789.554330103922, 'rmse': 42.303124353928304, 'mae': 32.884708474207905, 'mdae': 26.631343214042047, 'r2': 0.37765424916043366}",1791.128680176683,42.32116446580993,32.87849689093014,26.48850722856914,0.3658339390999778,20.666766377063148,0.2442294887755548,0.13692415009160183,0.22194328712644884,0.023260217613239462
8,39.0581900293178,2024-07-10 18:23:58.423515,2024-07-10 18:24:04.500726,0 days 00:00:06.077211,10,4,10,79,COMPLETE,"{'mse': 1584.0676372175908, 'rmse': 39.800347199711595, 'mae': 29.713174705213337, 'mdae': 21.723893733486953, 'r2': 0.46976250275315923}","{'mse': 1492.740807977049, 'rmse': 38.636004037387835, 'mae': 29.28769509707408, 'mdae': 22.75336994939039, 'r2': 0.45594371858738536}","{'mse': 1537.5294731612175, 'rmse': 39.21134367961926, 'mae': 29.931032556033447, 'mdae': 23.000280297017675, 'r2': 0.4463589135487852}","{'mse': 1515.728229205472, 'rmse': 38.93235452943313, 'mae': 29.630320936972705, 'mdae': 22.89116742813819, 'r2': 0.44932609273392754}","{'mse': 1498.533833039107, 'rmse': 38.71090070043717, 'mae': 29.19539119714256, 'mdae': 21.677274718931223, 'r2': 0.4788612182413826}",1525.7199961200872,39.0581900293178,29.551522898487228,22.409197225392887,0.46005048917292796,36.98128137769038,0.47141774705007083,0.3052879440622269,0.6529702844163725,0.013851933281713281
9,42.318362312183,2024-07-10 18:24:04.502238,2024-07-10 18:24:08.809578,0 days 00:00:04.307340,2,2,8,187,COMPLETE,"{'mse': 1798.3160740754852, 'rmse': 42.40655697030219, 'mae': 32.69089632761528, 'mdae': 26.124834536173196, 'r2': 0.39804678034365404}","{'mse': 1785.6606019082462, 'rmse': 42.25707753629262, 'mae': 33.01351522683383, 'mdae': 26.579376472018424, 'r2': 0.34918382230349754}","{'mse': 1761.88781006379, 'rmse': 41.97484735009515, 'mae': 32.81949944452467, 'mdae': 26.690799430554904, 'r2': 0.3655708730166325}","{'mse': 1819.2408501031825, 'rmse': 42.6525597133769, 'mae': 32.98492701604743, 'mdae': 26.540758848782712, 'r2': 0.3390579868598821}","{'mse': 1789.3551418186398, 'rmse': 42.30076999084815, 'mae': 32.87817059462798, 'mdae': 26.6684846177708, 'r2': 0.3777235200290946}",1790.8920955938688,42.318362312183,32.87740172192984,26.520850781060005,0.36591659651055214,20.795111630651757,0.24573056555382797,0.13060063370317565,0.22985253266167802,0.023309023606144574
10,39.54019631778408,2024-07-10 18:24:08.810578,2024-07-10 18:24:33.976635,0 days 00:00:25.166057,6,3,10,476,COMPLETE,"{'mse': 1597.9115432056574, 'rmse': 39.973885765655275, 'mae': 30.10298057714247, 'mdae': 22.753642294956478, 'r2': 0.46512850992938903}","{'mse': 1527.4963139989982, 'rmse': 39.08319733592683, 'mae': 29.934672769719974, 'mdae': 23.888097233702176, 'r2': 0.4432764482455631}","{'mse': 1579.519405826519, 'rmse': 39.74316803963316, 'mae': 30.49686688911773, 'mdae': 23.813893579759217, 'r2': 0.43123897448639226}","{'mse': 1558.002660978799, 'rmse': 39.471542419555874, 'mae': 30.298507067671174, 'mdae': 23.21155710024263, 'r2': 0.4339675171835641}","{'mse': 1554.6608685591502, 'rmse': 39.42918802814928, 'mae': 29.996512057674177, 'mdae': 22.89211719641027, 'r2': 0.45934215616233876}",1563.5181585138248,39.54019631778408,30.1659078722651,23.311861481014155,0.44659072120144944,26.671100496477397,0.33733081855699776,0.2308900585667478,0.520081427227695,0.015101775695179526
11,38.99139804919766,2024-07-10 18:24:33.976635,2024-07-10 18:24:53.695414,0 days 00:00:19.718779,10,3,6,225,COMPLETE,"{'mse': 1581.7058823674415, 'rmse': 39.770666104145675, 'mae': 29.671671023466846, 'mdae': 21.66570798719738, 'r2': 0.47055305673673375}","{'mse': 1490.2709915724026, 'rmse': 38.60402817805938, 'mae': 29.2664364421925, 'mdae': 22.902667045718097, 'r2': 0.45684388767347395}","{'mse': 1533.4460973231617, 'rmse': 39.15924025467248, 'mae': 29.864868831044667, 'mdae': 23.022993924706952, 'r2': 0.44782927536937644}","{'mse': 1498.2432489097132, 'rmse': 38.70714725873909, 'mae': 29.45785353434868, 'mdae': 22.672183087321997, 'r2': 0.4556784996050347}","{'mse': 1498.9215671375634, 'rmse': 38.71590845037171, 'mae': 29.151943366927934, 'mdae': 21.617177261128134, 'r2': 0.47872637759163505}",1520.5175574620566,38.99139804919766,29.482554639596124,22.37614586121451,0.4619262193952508,38.041242800955224,0.48532930969713983,0.29092532594121506,0.682647479115585,0.012452465289208936
12,39.12075117304857,2024-07-10 18:24:53.696413,2024-07-10 18:25:08.366239,0 days 00:00:14.669826,8,3,8,219,COMPLETE,"{'mse': 1583.9704911839249, 'rmse': 39.79912676408774, 'mae': 29.81442837773664, 'mdae': 22.1650941738289, 'r2': 0.4697950206005972}","{'mse': 1495.7302781601254, 'rmse': 38.67467230837419, 'mae': 29.416399545276143, 'mdae': 22.51328483979312, 'r2': 0.4548541523194124}","{'mse': 1545.2143857636593, 'rmse': 39.309215023498744, 'mae': 30.055403970181295, 'mdae': 23.181195530724036, 'r2': 0.4435916928634148}","{'mse': 1516.8376017116132, 'rmse': 38.94659936004186, 'mae': 29.727332314695236, 'mdae': 22.77789129465452, 'r2': 0.448923050499311}","{'mse': 1511.1989480538953, 'rmse': 38.8741424092403, 'mae': 29.373801319034143, 'mdae': 22.265804218670482, 'r2': 0.4744567246863365}",1530.5903409746436,39.12075117304857,29.67747310538469,22.580654011534214,0.4583241281938143,34.79831554268277,0.4432389748527303,0.28480273153406677,0.4110692272004136,0.013316415502585046
13,38.99323422137538,2024-07-10 18:25:08.367379,2024-07-10 18:25:19.590173,0 days 00:00:11.222794,10,3,6,140,COMPLETE,"{'mse': 1583.6254424112312, 'rmse': 39.79479164930043, 'mae': 29.688797823719625, 'mdae': 21.856788064041886, 'r2': 0.4699105193289107}","{'mse': 1487.1805689007467, 'rmse': 38.56398020045061, 'mae': 29.248480541570537, 'mdae': 22.896748986969094, 'r2': 0.45797024789471885}","{'mse': 1532.0680188966091, 'rmse': 39.141640472731964, 'mae': 29.854301354123013, 'mdae': 22.880766692164684, 'r2': 0.44832550054789144}","{'mse': 1503.2691184968705, 'rmse': 38.77201463036027, 'mae': 29.560761163313064, 'mdae': 22.88954525717679, 'r2': 0.45385256855114087}","{'mse': 1497.2058366578144, 'rmse': 38.693744154033666, 'mae': 29.129790645663768, 'mdae': 21.556905836964404, 'r2': 0.47932304993384645}",1520.6697970726545,38.99323422137538,29.496426305678,22.416150967463373,0.46187637725130165,38.94933310578554,0.49684256763809387,0.30212544343905784,0.6561504083546927,0.012571788244450573
14,39.112684656497414,2024-07-10 18:25:19.590173,2024-07-10 18:25:27.896882,0 days 00:00:08.306709,8,3,6,122,COMPLETE,"{'mse': 1581.3925852769019, 'rmse': 39.766727112963444, 'mae': 29.799038123446252, 'mdae': 22.513508053653084, 'r2': 0.4706579271736263}","{'mse': 1490.8429780451306, 'rmse': 38.611435845421894, 'mae': 29.343197666804095, 'mdae': 22.758976052926524, 'r2': 0.45663541689830134}","{'mse': 1544.886015345929, 'rmse': 39.30503804025546, 'mae': 30.060983800478468, 'mdae': 23.28145932177139, 'r2': 0.44370993407960224}","{'mse': 1520.0591623489856, 'rmse': 38.98793611296943, 'mae': 29.814967815011915, 'mdae': 22.662755093336543, 'r2': 0.4477526366022192}","{'mse': 1512.609923597379, 'rmse': 38.89228617087686, 'mae': 29.385019012717187, 'mdae': 22.083011338198517, 'r2': 0.4739660356811165}",1529.9581329228652,39.112684656497414,29.680641283691585,22.65994197197721,0.4585443900869731,34.6312354996507,0.44163316827546467,0.3074014396641612,0.43312565369776923,0.013460424775304012
15,39.26999520125791,2024-07-10 18:25:27.897883,2024-07-10 18:25:37.183320,0 days 00:00:09.285437,7,2,6,139,COMPLETE,"{'mse': 1584.120470262188, 'rmse': 39.80101092010337, 'mae': 29.91020628508209, 'mdae': 22.41603750906995, 'r2': 0.46974481786352384}","{'mse': 1506.4645716404539, 'rmse': 38.813200997089304, 'mae': 29.604655835098505, 'mdae': 23.24413507935101, 'r2': 0.4509418456662476}","{'mse': 1556.3805038242347, 'rmse': 39.45098862923761, 'mae': 30.23006340045377, 'mdae': 23.55269932104912, 'r2': 0.43957094279493714}","{'mse': 1534.6507623447221, 'rmse': 39.17461885385386, 'mae': 30.02236054355, 'mdae': 22.770133242010022, 'r2': 0.4424514135807758}","{'mse': 1529.6043497462708, 'rmse': 39.11015660600544, 'mae': 29.645521523936694, 'mdae': 22.66625820825646, 'r2': 0.46805595587867466}",1542.2441315635738,39.26999520125791,29.882561517624207,22.92985267194731,0.45415299515683183,29.37288295464031,0.3735111389809068,0.2619566215879761,0.45981239084311964,0.01410914593151401
