number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_max_leaves,params_n_estimators,state,fold_0,fold_1,fold_2,fold_3,fold_4,mse,rmse,mae,mdae,r2,mse_std,rmse_std,mae_std,mdae_std,r2_std
32,39.706479515378696,2024-07-10 18:44:16.027437,2024-07-10 18:44:23.970950,0 days 00:00:07.943513,9.343756809837656,0.718302845264531,8.174566475547984,1.7104742927457217,0.07787838528190981,8,4,265,COMPLETE,"{'mse': 1618.4189325362709, 'rmse': 40.229577831941896, 'mae': 30.780372288645218, 'mdae': 24.01457772060547, 'r2': 0.45826403865414045}","{'mse': 1557.5763214934925, 'rmse': 39.46614145686772, 'mae': 30.671922483414438, 'mdae': 24.67336814005371, 'r2': 0.4323132475781303}","{'mse': 1578.4212363060037, 'rmse': 39.72934980975656, 'mae': 31.042689330957614, 'mdae': 25.72278620614258, 'r2': 0.43163440870541614}","{'mse': 1568.518846207518, 'rmse': 39.604530627284525, 'mae': 30.756627838531315, 'mdae': 25.12873319664063, 'r2': 0.4301469188085717}","{'mse': 1560.471038060349, 'rmse': 39.502797851042764, 'mae': 30.48085028291531, 'mdae': 23.837385707421873, 'r2': 0.4573215780553199}",1576.681274920727,39.706479515378696,30.746492444892777,24.675370194172853,0.44193603836031564,24.695423644266544,0.309756790763053,0.2031684047202889,0.7812629223757622,0.01450020207696623
33,39.72542647725872,2024-07-10 18:44:23.971949,2024-07-10 18:44:33.887056,0 days 00:00:09.915107,8.004041767341057,0.8146148181751853,4.655011531574966,7.310761427639846,0.12707095435090168,8,3,351,COMPLETE,"{'mse': 1624.9704762361832, 'rmse': 40.310922542608516, 'mae': 30.845423399163337, 'mdae': 23.988289782094725, 'r2': 0.45607102993852355}","{'mse': 1558.5461634701198, 'rmse': 39.478426557679825, 'mae': 30.76223620208651, 'mdae': 24.354902667968748, 'r2': 0.4319597711966031}","{'mse': 1575.8989607302635, 'rmse': 39.69759389094336, 'mae': 31.029674856519392, 'mdae': 25.602584452480468, 'r2': 0.4325426419552224}","{'mse': 1573.6520162991999, 'rmse': 39.6692830323312, 'mae': 30.801848083014743, 'mdae': 25.07842147448242, 'r2': 0.4282820047846839}","{'mse': 1557.9524490954536, 'rmse': 39.47090636273069, 'mae': 30.589234843687464, 'mdae': 24.069207105175792, 'r2': 0.4581974571018773}",1578.204013166244,39.72542647725872,30.80568347689429,24.61868109644043,0.44141058099538205,27.43033408596642,0.34370111680818244,0.15851166070658945,0.697911341940154,0.014465870476937023
34,39.65061981288483,2024-07-10 18:44:33.888057,2024-07-10 18:44:42.454076,0 days 00:00:08.566019,9.955233805748943,0.7782767940886001,6.610778968175074,1.666451345736867,0.09895439492022057,9,4,298,COMPLETE,"{'mse': 1614.2872193470785, 'rmse': 40.17819333104811, 'mae': 30.729080198512, 'mdae': 23.961185322841793, 'r2': 0.4596470536273062}","{'mse': 1552.1385773561647, 'rmse': 39.397189967765016, 'mae': 30.652453213616862, 'mdae': 24.80172830664063, 'r2': 0.4342951313980261}","{'mse': 1569.0318543667297, 'rmse': 39.61100673255768, 'mae': 30.859111904373556, 'mdae': 24.904736632958986, 'r2': 0.4350153829948241}","{'mse': 1567.6691199658399, 'rmse': 39.593801534657416, 'mae': 30.724853014489103, 'mdae': 25.009577189570315, 'r2': 0.4304556298694303}","{'mse': 1558.1104263769225, 'rmse': 39.47290749839594, 'mae': 30.45625140966633, 'mdae': 23.850973384951175, 'r2': 0.45814251800994954}",1572.247439482547,39.65061981288483,30.68434994813157,24.505640167392578,0.4435111431799073,24.509516334777214,0.30779038445805995,0.14767310177861204,0.5536059905608269,0.014159837370799224
35,39.65190127597492,2024-07-10 18:44:42.455074,2024-07-10 18:44:50.467280,0 days 00:00:08.012206,7.434603758507258,0.6654509623961362,8.090301010594526,0.05458575377312869,0.14074142883162893,10,5,250,COMPLETE,"{'mse': 1633.4207404864874, 'rmse': 40.415600211879664, 'mae': 30.982883381730545, 'mdae': 24.144903649521485, 'r2': 0.4532424594520853}","{'mse': 1548.939152449516, 'rmse': 39.356564286653835, 'mae': 30.436400926292993, 'mdae': 23.9119957075, 'r2': 0.43546121944765137}","{'mse': 1576.6312335954433, 'rmse': 39.70681595891873, 'mae': 30.95878591483285, 'mdae': 25.3115935733789, 'r2': 0.43227896158243373}","{'mse': 1553.2386144527102, 'rmse': 39.41114835237246, 'mae': 30.50657965696886, 'mdae': 24.773091903906256, 'r2': 0.4356983262193592}","{'mse': 1549.9478902531491, 'rmse': 39.36937757004991, 'mae': 30.408614475524764, 'mdae': 23.541599067773433, 'r2': 0.4609811687216101}",1572.4355262474612,39.65190127597492,30.65865287107,24.33663678041601,0.4435324270846279,35.92734019048281,0.45034909764504705,0.28733545580583947,0.7053723168971099,0.012766179226639158
36,40.46640044218586,2024-07-10 18:44:50.468280,2024-07-10 18:45:01.410904,0 days 00:00:10.942624,8.671693962682525,0.7382164942767874,7.130834372514281,4.532735364285546,0.1714879273355306,9,0,202,COMPLETE,"{'mse': 1755.3568081145427, 'rmse': 41.89697850817577, 'mae': 31.27227073693194, 'mdae': 23.461168406176757, 'r2': 0.41242660424227373}","{'mse': 1610.5713940572805, 'rmse': 40.1319248735627, 'mae': 30.376667554843706, 'mdae': 22.51257146881836, 'r2': 0.4129982385972213}","{'mse': 1627.6890816783136, 'rmse': 40.34462890743096, 'mae': 30.361789493535195, 'mdae': 23.279367992373047, 'r2': 0.41389380345838034}","{'mse': 1614.8103056323334, 'rmse': 40.18470238327433, 'mae': 30.25182952697021, 'mdae': 22.923332258417965, 'r2': 0.4133289310299352}","{'mse': 1581.9525842054868, 'rmse': 39.77376753848555, 'mae': 29.77884149065909, 'mdae': 21.414378899160155, 'r2': 0.4498510314840324}",1638.0760347375915,40.46640044218586,30.408279760588027,22.718163804989253,0.4204997217623686,67.657796496659,0.8264910694098014,0.540904403507814,0.8141288842937016,0.016416495171888902
37,40.19400885325879,2024-07-10 18:45:01.411906,2024-07-10 18:45:10.995753,0 days 00:00:09.583847,1.9225117429339669,0.8248562776137861,4.0625526173789295,1.1525657278726702,0.06190419157973954,8,3,346,COMPLETE,"{'mse': 1659.2941571198537, 'rmse': 40.734434537868005, 'mae': 31.369154462952864, 'mdae': 24.761974921621096, 'r2': 0.44458180926356283}","{'mse': 1594.1294057452262, 'rmse': 39.92655013578341, 'mae': 31.238864765021024, 'mdae': 25.311348109790035, 'r2': 0.41899081746441835}","{'mse': 1610.5097034819698, 'rmse': 40.1311562689386, 'mae': 31.66420841065265, 'mdae': 26.184719147167968, 'r2': 0.42007983746631694}","{'mse': 1612.9976560042498, 'rmse': 40.16214207439949, 'mae': 31.329031389252204, 'mdae': 25.41435490730469, 'r2': 0.41398747840931893}","{'mse': 1601.2611483613332, 'rmse': 40.01576124930442, 'mae': 31.271588141778906, 'mdae': 24.969667001367185, 'r2': 0.44313617368113667}",1615.6384141425265,40.19400885325879,31.374569433931526,25.328412817450197,0.4281552232569507,25.536466009734205,0.31635906554300897,0.16956906849238945,0.5455474836710298,0.01452742911452255
38,43.09460698679926,2024-07-10 18:45:10.996754,2024-07-10 18:45:14.752634,0 days 00:00:03.755880,6.2233120580358285,0.61828148003875,6.018822524978409,5.506632765727676,0.0872267204517646,5,2,55,COMPLETE,"{'mse': 1916.6828082052623, 'rmse': 43.77993613751923, 'mae': 34.492707794499005, 'mdae': 28.73974141727539, 'r2': 0.35842569385236167}","{'mse': 1824.800042230335, 'rmse': 42.71767833380385, 'mae': 34.03538311823953, 'mdae': 29.641443774316407, 'r2': 0.3349187481228941}","{'mse': 1832.9526063119079, 'rmse': 42.81299576427592, 'mae': 34.43104521302354, 'mdae': 29.206520837666016, 'r2': 0.33998151574574487}","{'mse': 1856.6707347077297, 'rmse': 43.0891022731703, 'mae': 34.20353030438968, 'mdae': 28.62396981435547, 'r2': 0.3254594667514926}","{'mse': 1855.3111047475645, 'rmse': 43.07332242522702, 'mae': 34.44768749679564, 'mdae': 29.936419041152345, 'r2': 0.35478629337950496}",1857.2834592405602,43.09460698679926,34.32207078538947,29.229618976953123,0.34271434357039965,35.98510475156881,0.4157942608310138,0.1955847879258871,0.5649093843584365,0.013770883506624558
39,39.764960513646145,2024-07-10 18:45:14.753634,2024-07-10 18:45:24.280819,0 days 00:00:09.527185,9.165896718462088,0.9899226356996809,8.884506285774311,2.0256805387232433,0.20158674501714924,10,5,303,COMPLETE,"{'mse': 1639.4374041993403, 'rmse': 40.48996671027701, 'mae': 30.901799645529717, 'mdae': 23.896297655400392, 'r2': 0.45122849197119996}","{'mse': 1569.0530688788533, 'rmse': 39.61127451722367, 'mae': 30.67409794377487, 'mdae': 23.79249806443359, 'r2': 0.42813034022286534}","{'mse': 1570.2782994805498, 'rmse': 39.62673717934079, 'mae': 30.632798063675853, 'mdae': 24.16441785455078, 'r2': 0.4345665569794124}","{'mse': 1575.1512159270426, 'rmse': 39.68817476184868, 'mae': 30.677389560005036, 'mdae': 24.338304858129884, 'r2': 0.4277373358256129}","{'mse': 1553.0416474959102, 'rmse': 39.40864939954058, 'mae': 30.31027738456823, 'mdae': 22.95344164732421, 'r2': 0.45990526583239766}",1581.3923271963392,39.764960513646145,30.63927251951074,23.828992015967774,0.44031359816629767,33.49523242765069,0.41869222661468825,0.21205301709784885,0.5348739033665436,0.014513708861735608
40,41.09579517423261,2024-07-10 18:45:24.281819,2024-07-10 18:45:34.075839,0 days 00:00:09.794020,7.419119219831517,0.7615779784166038,4.950953899576229,3.8914052573901823,0.2722557810611766,9,0,157,COMPLETE,"{'mse': 1787.7741760764177, 'rmse': 42.28207866314543, 'mae': 31.771401791080084, 'mdae': 24.255000766308594, 'r2': 0.40157548674477417}","{'mse': 1672.7274868757968, 'rmse': 40.898991269660876, 'mae': 31.109774541904454, 'mdae': 23.65051290856445, 'r2': 0.390344330735074}","{'mse': 1707.245918336893, 'rmse': 41.318832490002585, 'mae': 31.478493591381728, 'mdae': 24.54555868097168, 'r2': 0.38524659099765424}","{'mse': 1618.4027300211933, 'rmse': 40.22937645578406, 'mae': 30.136423299967717, 'mdae': 22.79512692753906, 'r2': 0.41202377992391637}","{'mse': 1660.537804986278, 'rmse': 40.749696992570115, 'mae': 30.4544164872541, 'mdae': 22.246105290224612, 'r2': 0.4225217811734959}",1689.3376232593157,41.09579517423261,30.99010194231762,23.498460914721683,0.40234239391498294,63.53649975612957,0.769124710982528,0.6853837463083478,0.9688858802372053,0.01531131158039667
41,39.50590007801408,2024-07-10 18:45:34.076839,2024-07-10 18:45:42.969759,0 days 00:00:08.892920,8.596703419041763,0.6448114011900012,7.001493684622459,5.896462276910436,0.14481006362483884,9,4,318,COMPLETE,"{'mse': 1618.7277821644313, 'rmse': 40.233416237804505, 'mae': 30.69279629703061, 'mdae': 23.527646703950193, 'r2': 0.4581606569234531}","{'mse': 1536.3590390965385, 'rmse': 39.19641615118069, 'mae': 30.482541091876314, 'mdae': 24.114631035620114, 'r2': 0.44004626840859296}","{'mse': 1563.0456633622202, 'rmse': 39.53537230585062, 'mae': 30.735700240620023, 'mdae': 25.200959973632813, 'r2': 0.4371709197499193}","{'mse': 1554.5767320067189, 'rmse': 39.42812108136424, 'mae': 30.537799161353238, 'mdae': 24.81909434613281, 'r2': 0.435212179423615}","{'mse': 1531.640163407346, 'rmse': 39.1361746138703, 'mae': 30.185917681031633, 'mdae': 23.703667554394542, 'r2': 0.4673479695604287}",1560.869876007451,39.50590007801408,30.52695089438236,24.273199922746095,0.4475875988132018,34.81031543111593,0.43837061007047956,0.21764337527101094,0.7183488438995832,0.014324731078781874
42,39.54367620472463,2024-07-10 18:45:42.970759,2024-07-10 18:45:50.956553,0 days 00:00:07.985794,8.615561198902284,0.6495861090334532,6.41370652732902,6.179017018637952,0.14595180001167052,9,4,268,COMPLETE,"{'mse': 1610.9366312260377, 'rmse': 40.13647507225862, 'mae': 30.639317718322328, 'mdae': 23.15055471745117, 'r2': 0.46076860135536046}","{'mse': 1541.496732833962, 'rmse': 39.26189925148759, 'mae': 30.541653194990836, 'mdae': 24.546411042641605, 'r2': 0.43817374336279646}","{'mse': 1574.0978017617163, 'rmse': 39.674901408342734, 'mae': 30.85690795933404, 'mdae': 24.895308437841805, 'r2': 0.4331912120318452}","{'mse': 1560.6290740051, 'rmse': 39.50479811371145, 'mae': 30.641562488029887, 'mdae': 25.172424028808592, 'r2': 0.4330133242778571}","{'mse': 1531.9636459743263, 'rmse': 39.14030717782279, 'mae': 30.089911440341222, 'mdae': 23.41789597500977, 'r2': 0.4672354733944033}",1563.8247771602285,39.54367620472463,30.55387056020366,24.23651884035059,0.4464764708844525,31.01994354652168,0.39123103168534157,0.2838265690630523,0.9021386956102628,0.01629333362326389
43,39.570789259768844,2024-07-10 18:45:50.957553,2024-07-10 18:45:59.138321,0 days 00:00:08.180768,9.507276800222522,0.5887519539837156,7.952724307430435,6.312634322050165,0.11895312737770584,9,4,278,COMPLETE,"{'mse': 1609.626402822211, 'rmse': 40.12014958623922, 'mae': 30.630041980880858, 'mdae': 23.172113954843745, 'r2': 0.4612071762074337}","{'mse': 1546.6289009766106, 'rmse': 39.32720306577383, 'mae': 30.603212774167197, 'mdae': 24.770679125546877, 'r2': 0.43630323221956746}","{'mse': 1562.7771970015842, 'rmse': 39.5319768921513, 'mae': 30.82237866214125, 'mdae': 25.2500153027539, 'r2': 0.43726759042204144}","{'mse': 1563.9329324518837, 'rmse': 39.546591919555894, 'mae': 30.64292966551287, 'mdae': 25.00293768652343, 'r2': 0.4318130110522479}","{'mse': 1546.6935374321288, 'rmse': 39.32802483512398, 'mae': 30.36560759036304, 'mdae': 23.653561549023436, 'r2': 0.4621129212567663}",1565.9317941368838,39.570789259768844,30.612834134613042,24.36986152373828,0.44574078623161134,25.816070405275916,0.32486823453179753,0.1630370316285277,0.9060623247176627,0.014680781813058985
44,39.598764132433416,2024-07-10 18:45:59.139321,2024-07-10 18:46:07.099519,0 days 00:00:07.960198,8.230446427962608,0.5466129731453482,6.934193233205175,6.834680117934845,0.16679087971373077,10,4,275,COMPLETE,"{'mse': 1629.247675472181, 'rmse': 40.36394028674828, 'mae': 30.837451487680607, 'mdae': 24.25459116294922, 'r2': 0.4546393161879003}","{'mse': 1539.256941235056, 'rmse': 39.233365153081834, 'mae': 30.481916426325785, 'mdae': 24.327900526513673, 'r2': 0.438990075764194}","{'mse': 1554.4529713595837, 'rmse': 39.426551603704624, 'mae': 30.785762296115767, 'mdae': 25.202608248730463, 'r2': 0.44026501805432405}","{'mse': 1566.777844040535, 'rmse': 39.582544688796034, 'mae': 30.70613235279482, 'mdae': 25.003401940600586, 'r2': 0.4307794362001319}","{'mse': 1551.3687699544287, 'rmse': 39.38741892983632, 'mae': 30.30846363229278, 'mdae': 23.19869440734375, 'r2': 0.46048703538926583}",1568.2208404123571,39.598764132433416,30.62394523904195,24.39743925722754,0.44503217631916325,35.49229067161703,0.44542058251363464,0.222612459036669,0.7870384848833072,0.012181165618211979
45,39.54857275377662,2024-07-10 18:46:07.099519,2024-07-10 18:46:16.443536,0 days 00:00:09.344017,9.587914788578141,0.5935236375959119,5.4833355456743025,8.654924930523366,0.10719250523544245,6,5,309,COMPLETE,"{'mse': 1604.0513622168758, 'rmse': 40.05061001054635, 'mae': 30.510056869700584, 'mdae': 23.5380532928418, 'r2': 0.4630733184782365}","{'mse': 1537.3854878376512, 'rmse': 39.20950762044394, 'mae': 30.405371234847998, 'mdae': 24.310335144091802, 'r2': 0.4396721606718941}","{'mse': 1570.2606698566717, 'rmse': 39.626514732646775, 'mae': 30.73902673958564, 'mdae': 24.731540416518556, 'r2': 0.43457290514007396}","{'mse': 1564.2106142273492, 'rmse': 39.55010258175507, 'mae': 30.64172810645847, 'mdae': 24.816947328227542, 'r2': 0.4317121274602387}","{'mse': 1544.9717630888679, 'rmse': 39.30612882349097, 'mae': 30.33229425911533, 'mdae': 23.958937098564448, 'r2': 0.46271169544786384}",1564.1759794454833,39.54857275377662,30.525695441941604,24.27116265604883,0.4463484414396614,26.04612818920598,0.32858139159231836,0.1666585724335958,0.5353263517958166,0.01536989964695294
46,39.62202549050669,2024-07-10 18:46:16.444533,2024-07-10 18:46:27.290723,0 days 00:00:10.846190,9.688474749264383,0.5923330218382806,5.624478986539984,8.678286520236243,0.10454130738432448,6,5,372,COMPLETE,"{'mse': 1618.4128616985909, 'rmse': 40.22950237945519, 'mae': 30.634092472381724, 'mdae': 23.597336886450194, 'r2': 0.4582660707553601}","{'mse': 1543.4690621156892, 'rmse': 39.287008821182724, 'mae': 30.50409651182737, 'mdae': 24.05343720092285, 'r2': 0.43745489242162605}","{'mse': 1573.9899485712874, 'rmse': 39.673542173232875, 'mae': 30.782196619875492, 'mdae': 24.837462242270504, 'r2': 0.4332300483329169}","{'mse': 1561.8459030580811, 'rmse': 39.52019614144243, 'mae': 30.573102422627187, 'mdae': 24.60348154082031, 'r2': 0.43257124238206013}","{'mse': 1552.3503814678543, 'rmse': 39.39987793722024, 'mae': 30.379247010196117, 'mdae': 23.597654660917968, 'r2': 0.4601456644992743}",1570.0136313823007,39.62202549050669,30.57454700738158,24.137874506276365,0.44433358367824755,29.332630868476137,0.3686587377550511,0.1498094389721016,0.569508772819166,0.01372127599188131
47,39.54806587773605,2024-07-10 18:46:27.291722,2024-07-10 18:46:35.403027,0 days 00:00:08.111305,9.523379545881076,0.6368221516564962,5.209579953143055,9.71249440537346,0.15384337369264228,3,5,247,COMPLETE,"{'mse': 1601.8064507199888, 'rmse': 40.0225742640324, 'mae': 30.520736334170568, 'mdae': 23.385922583330075, 'r2': 0.46382476129903727}","{'mse': 1536.6607131016826, 'rmse': 39.200264196835235, 'mae': 30.40861381514977, 'mdae': 23.97740403978027, 'r2': 0.43993631788231236}","{'mse': 1571.735362024722, 'rmse': 39.64511775773559, 'mae': 30.8169809259356, 'mdae': 25.161422800561525, 'r2': 0.43404189081589206}","{'mse': 1569.6844122453579, 'rmse': 39.61924295396566, 'mae': 30.679182395204744, 'mdae': 24.502274975117185, 'r2': 0.4297234610990255}","{'mse': 1540.8082317629953, 'rmse': 39.253130216111366, 'mae': 30.120294284618378, 'mdae': 23.430763748447266, 'r2': 0.46415962915155506}",1564.1390339709492,39.54806587773605,30.509161551015815,24.091557629447262,0.44633721204956445,26.4890267569124,0.3345132680451665,0.2669838144452794,0.751814577523474,0.01651980645419428
48,39.55872086114018,2024-07-10 18:46:35.404027,2024-07-10 18:46:43.626499,0 days 00:00:08.222472,8.54766856841596,0.6412188486287284,3.92668423100056,9.169453061214034,0.14955441500378258,3,5,247,COMPLETE,"{'mse': 1606.9385246422212, 'rmse': 40.08663773182057, 'mae': 30.552538576901267, 'mdae': 23.765407645986325, 'r2': 0.4621068939755244}","{'mse': 1528.8356822712003, 'rmse': 39.10032841641104, 'mae': 30.304120074514596, 'mdae': 24.139243710634766, 'r2': 0.442788291348048}","{'mse': 1576.9205966779389, 'rmse': 39.71045953748129, 'mae': 30.7908924816419, 'mdae': 24.90122596187988, 'r2': 0.4321747663171277}","{'mse': 1562.943359063074, 'rmse': 39.53407845217938, 'mae': 30.580434200186996, 'mdae': 25.031108069472655, 'r2': 0.43217252948968443}","{'mse': 1549.3749296205995, 'rmse': 39.36210016780862, 'mae': 30.206037499495462, 'mdae': 23.490053649160153, 'r2': 0.46118042482077815}",1565.0026184550068,39.55872086114018,30.486804566548045,24.265407807426755,0.4460845811902326,29.398855900940188,0.37118439723305513,0.23332418332088858,0.6814787649535464,0.014853389015255682
49,39.622174251685166,2024-07-10 18:46:43.627499,2024-07-10 18:46:52.266303,0 days 00:00:08.638804,9.98976454690277,0.5188233078929053,5.114390256084162,9.934822022149358,0.18903174028125322,2,5,309,COMPLETE,"{'mse': 1611.5125429702016, 'rmse': 40.14364884972717, 'mae': 30.621920084040767, 'mdae': 23.524847238066407, 'r2': 0.46057582549485676}","{'mse': 1549.1968271170094, 'rmse': 39.35983774251375, 'mae': 30.6210556188784, 'mdae': 24.20689346190918, 'r2': 0.4353673052726912}","{'mse': 1575.9400697047308, 'rmse': 39.69811166421812, 'mae': 30.785192342462544, 'mdae': 24.755295582492682, 'r2': 0.43252783923587024}","{'mse': 1564.406405311712, 'rmse': 39.55257773283193, 'mae': 30.641650902690586, 'mdae': 24.949839456982424, 'r2': 0.4316409952880217}","{'mse': 1548.9494625075415, 'rmse': 39.35669526913485, 'mae': 30.312901218385772, 'mdae': 23.429161303964847, 'r2': 0.46132838772164086}",1570.0010615222388,39.622174251685166,30.59654403329161,24.17320740868311,0.44428807060261616,25.81550444293887,0.32474815499166226,0.17271423106343792,0.6922958629634156,0.015276575015613324
